Month,India G-Secs,Gold_INR,Silver_INR,Gold,Silver,WTI Crude Oil,Brent Oil,Natural Gas,Indian Rupee,Dollar Index
17/01/2025,2869.14,235095.875,2664.6909,2715.4,30.7785,79.21,81.63,4.247,86.5813,108.968
31/12/2024,2861.37,221202.9688,2625.8252,2634.58,31.1595,68.17,71.77,2.923,83.8013,100.779
30/11/2024,2846.63,209761.3438,2421.7346,2503.39,28.8647,73.55,78.8,2.127,83.8712,101.698
31/10/2024,2825.14,205125.8125,2420.5564,2447.6,29.0065,77.91,80.72,2.036,83.7275,104.096
30/09/2024,2829.04,194384.1875,2451.1707,2326.75,29.1429,81.54,86.41,2.601,83.3913,105.866
31/08/2024,2787.49,194713.4375,2540.8208,2327.33,30.4083,76.99,81.62,2.587,83.465,104.671
31/07/2024,2759.15,191870.4375,2200.25,2286.25,26.2942,81.93,87.86,1.991,83.4362,106.221
30/06/2024,2730.08,183939.7188,2051.7212,2229.87,24.9631,83.17,87.48,1.763,83.4037,104.487
31/05/2024,2709.81,169834.3125,1878.9915,2044.3,22.6756,78.26,83.62,1.86,82.9138,104.156
30/04/2024,2664.27,169824.4063,1926.9806,2039.52,22.958,75.85,81.71,2.1,83.0412,103.274
31/03/2024,2676.91,171887.6875,1977.3859,2062.98,23.7953,71.65,77.04,2.514,83.21,101.333
29/02/2024,2657.27,169655.8438,2091.8071,2036.41,25.272,75.96,82.83,2.802,83.395,103.497
31/01/2024,2627.8,165236.5938,1902.3221,1983.88,22.8451,81.02,87.41,3.575,83.255,106.663
31/12/2023,2602.3,154688.8438,1898.9089,1848.63,22.1795,90.79,95.31,2.929,83.04,106.174
30/11/2023,2567.85,161167.5,2037.9598,1940.19,24.443,83.63,86.86,2.768,82.785,103.619
31/10/2023,2541.98,161756.1563,2034.1743,1965.09,24.7465,81.8,85.56,2.634,82.2538,101.855
30/09/2023,2547.25,156911.75,1846.0847,1919.35,22.7747,70.64,74.9,2.798,82.04,102.912
31/08/2023,2545.8,162364.7188,1920.8375,1962.73,23.4858,68.09,72.66,2.266,82.7275,104.326
31/07/2023,2527.85,163020.2188,2045.807,1990,25.0545,76.78,79.54,2.41,81.8325,101.659
30/06/2023,2520.64,162468.125,1974.8287,1969.28,24.099,75.67,79.77,2.216,82.1825,102.506
31/05/2023,2530.26,149991.3125,1712.3302,1826.92,20.9114,77.05,83.89,2.747,82.67,104.869
30/04/2023,2496.68,155929.5,1892.8405,1928.36,23.7305,78.87,84.49,2.684,81.9238,102.097
31/03/2023,2459.08,150573.75,1979.8245,1824.02,23.9545,80.26,85.91,4.475,82.735,103.522
28/02/2023,2423.41,143463.625,1756.0966,1768.52,22.1943,80.55,85.43,6.93,81.4287,105.95
31/01/2023,2422.22,135585.875,1583.7466,1633.56,19.1645,86.53,94.83,6.355,82.785,111.527
31/12/2022,2409.54,135478.2188,1541.9615,1660.61,19.0283,79.49,87.96,6.766,81.3488,112.117
30/11/2022,2402.67,137688.5625,1485.1992,1711.04,17.992,89.55,96.49,9.127,79.46,108.7
31/10/2022,2363.52,139567,1586.9067,1765.94,20.3584,98.62,110.01,8.229,79.2688,105.903
30/09/2022,2357.1,142690.875,1618.7191,1807.27,20.279,105.76,114.81,5.424,78.9725,104.685
31/08/2022,2374.43,143758.25,1680.8269,1837.35,21.55,114.67,122.84,8.145,77.6375,101.752
31/07/2022,2338.35,145861.5938,1760.4567,1896.93,22.7768,104.69,109.34,7.244,76.4325,102.959
30/06/2022,2307.14,147184.3125,1893.5782,1937.44,24.793,100.28,107.91,5.642,75.7862,98.312
31/05/2022,2295.26,144173.7203,1839.5432,1908.99,24.45,95.72,100.99,4.402,75.3425,96.707
30/04/2022,2326.77,134121.3129,1678.4582,1797.17,22.466,88.15,91.21,4.874,74.6225,96.54
31/03/2022,2359.01,135302.313,1718.4401,1829.2,23.3083,75.21,77.78,3.73,74.3375,95.67
28/02/2022,2358.17,134930.5161,1719.9082,1774.52,22.8355,66.18,70.57,4.567,75.1687,95.994
31/01/2022,2344.54,133007.8127,1784.7802,1783.38,23.903,83.57,84.38,5.426,74.8775,94.123
31/12/2021,2364.16,128060.4137,1596.4632,1756.95,22.171,75.03,78.52,5.867,74.2388,94.23
30/11/2021,2376.9,131871.2188,1740.3852,1813.62,23.8943,68.5,72.99,4.377,73.0063,92.626
31/10/2021,2347.72,135837.9224,1904.2202,1814.19,25.4912,73.95,76.33,3.914,74.4175,92.174
30/09/2021,2355.19,130914.414,1923.0873,1770.11,26.1263,73.47,75.13,3.65,74.3313,92.436
31/08/2021,2338.29,138291.2196,2032.5312,1906.87,28.0262,66.32,69.32,2.986,72.615,89.829
31/07/2021,2314.87,131132.8125,1919.1142,1769.13,25.9169,63.58,67.25,2.931,74.0875,91.28
30/06/2021,2310.96,125162.1165,1785.0212,1707.71,24.4172,59.16,63.54,2.608,73.1125,93.232
31/05/2021,2311.32,128289.6169,1971.9313,1734.04,26.6677,61.5,66.13,2.771,73.465,90.879
30/04/2021,2299.86,134778.9223,1969.0832,1847.65,26.9872,52.2,55.88,2.564,72.9538,90.584
31/03/2021,2271.16,138657.0165,1928.7073,1898.36,26.4023,48.52,51.8,2.539,73.065,89.937
28/02/2021,2259.79,131525.5157,1675.2982,1776.95,22.644,45.34,47.59,2.882,74.04,91.869
31/01/2021,2297.29,140061.4229,1763.4052,1878.81,23.6567,35.79,37.46,3.354,74.11,94.038
31/12/2020,2302.29,139173.3135,1714.2631,1885.82,23.2352,40.22,40.95,2.527,73.7637,93.886
30/11/2020,2288.47,144530.8141,2067.1834,1967.8,28.1428,42.61,45.28,2.63,73.62,92.144
31/10/2020,2276.32,148043.2208,1824.6892,1975.86,24.389,40.27,43.3,1.799,74.8125,93.349
30/09/2020,2240.28,134571.8129,1375.5972,1780.96,18.207,39.27,41.15,1.751,75.5087,97.391
31/08/2020,2217.93,130564.3124,1348.6562,1730.27,17.8655,35.49,35.33,1.849,75.6175,98.344
31/07/2020,2248.61,127175.6167,1128.1492,1686.5,14.9697,18.84,25.27,1.949,75.1,99.016
30/06/2020,2228.82,118831.0142,1053.4111,1577.18,13.974,20.48,22.74,1.64,75.5425,99.048
31/05/2020,2212.06,115028.4121,1203.0051,1585.69,16.665,44.76,50.52,1.684,72.1763,98.132
30/04/2020,2181.15,113717.5136,1289.7532,1589.16,18.0425,51.56,58.16,1.841,71.3525,97.39
31/03/2020,2142.82,108088.3098,1271.9012,1517.27,17.8523,61.06,66,2.189,71.3788,96.389
29/02/2020,2116.04,101386.5121,1222.1151,1463.98,17.03,55.17,62.43,2.281,71.7375,98.273
31/01/2020,2069.26,107540.5128,1287.2681,1512.99,18.1065,54.18,60.23,2.633,70.9275,97.352
31/12/2019,2057.41,104025.7155,1200.8131,1472.49,16.9958,54.07,60.78,2.33,70.8675,99.377
30/11/2019,2059.82,109074.6146,1317.6972,1520.38,18.3759,55.1,60.43,2.285,71.405,98.916
31/10/2019,2048.03,97832.371,1125.0171,1413.78,16.2645,58.58,65.17,2.233,68.8,98.516
30/09/2019,2028.58,97158.0741,1055.9971,1409.55,15.315,58.47,66.55,2.308,69.0275,96.13
31/08/2019,2035.1,90828.0108,1013.7221,1305.58,14.5942,53.5,64.49,2.454,69.6975,97.75
31/07/2019,2036.51,89310.0575,1040.3641,1283.53,14.9525,63.91,72.8,2.575,69.5563,97.479
30/06/2019,1976.54,89652.6826,1049.4631,1292.38,15.1183,60.14,68.39,2.662,69.1488,97.284
31/05/2019,1946.19,93015.3392,1105.6821,1313.32,15.612,57.22,66.03,2.812,70.745,96.157
30/04/2019,1890.54,93748.5424,1139.8881,1321.25,16.061,53.79,61.89,2.814,71.085,95.578
31/03/2019,1890.17,89213.6513,1076.3312,1282.49,15.495,45.41,53.8,2.94,69.7712,96.173
28/02/2019,1864.53,85299.893,989.5301,1220.52,14.2048,50.93,58.71,4.612,69.5837,97.272
31/01/2019,1864.47,89972.4326,1055.2551,1214.76,14.2485,65.31,75.47,3.261,73.955,97.127
31/12/2018,1862.25,86500.94,1066.1821,1190.88,14.6554,73.25,82.72,3.008,72.49,95.132
30/11/2018,1827.62,85062.932,1029.1111,1201.15,14.5405,69.8,77.42,2.916,70.9962,95.14
31/10/2018,1793.88,83847.6975,1062.7361,1224.15,15.523,68.76,74.25,2.782,68.5475,94.554
30/09/2018,1760.98,85789.0805,1102.6962,1252.6,16.1185,74.15,79.44,2.924,68.47,94.47
31/08/2018,1755.16,87598.3933,1107.7631,1298.51,16.4275,67.04,77.59,2.952,67.3963,93.979
31/07/2018,1757.77,87977.6824,1097.8511,1315.39,16.3318,68.57,75.17,2.763,66.6613,91.841
30/06/2018,1736.02,86235.7915,1065.4581,1325.48,16.3678,64.94,70.27,2.733,65.1775,89.974
31/05/2018,1732.13,86050.354,1071.6032,1318.31,16.415,61.64,65.78,2.667,65.1775,90.613
30/04/2018,1726.98,85648.4477,1104.1282,1345.14,17.3455,64.73,69.05,2.995,63.5863,89.133
31/03/2018,1752.06,83190.5724,1081.6182,1302.8,16.9375,60.42,66.87,2.953,63.8713,92.124
28/02/2018,1711.19,82104.8535,1055.8951,1275.01,16.4385,57.4,63.57,3.025,64.4588,93.047
31/01/2018,1727.07,82226.6504,1080.8041,1271.45,16.7175,54.38,61.37,2.896,64.7462,94.552
31/12/2017,1746.29,83860.1662,1092.9531,1279.75,16.655,51.67,57.54,3.007,65.2762,93.076
30/11/2017,1760.08,84522.807,1124.0602,1321.43,17.5791,47.23,52.38,3.04,63.9063,92.668
31/10/2017,1764.52,81490.6035,1080.9761,1269.44,16.8271,50.17,52.65,2.794,64.1875,92.863
30/09/2017,1769.47,80299.0721,1076.1901,1241.61,16.6325,46.04,47.92,3.035,64.5788,95.628
31/08/2017,1774.86,81804.4629,1117.0281,1268.92,17.3278,48.32,50.31,3.071,64.5112,96.922
31/07/2017,1768.32,81493.9863,1105.5082,1268.28,17.2154,49.33,51.73,3.276,64.245,99.05
30/06/2017,1756.65,80952.8925,1182.4522,1249.2,18.2664,50.6,52.83,3.19,64.85,100.35
31/05/2017,1732.48,83364.5334,1222.9961,1248.44,18.3125,54.01,55.59,2.774,66.69,101.12
30/04/2017,1704.6,81869.7363,1187.2421,1210.72,17.5557,52.81,55.7,3.117,67.865,99.512
31/03/2017,1711.2,78314.8531,1082.5631,1147.5,15.9278,53.72,56.82,3.724,67.925,102.21
28/02/2017,1687.6,80483.1424,1132.6242,1173.2,16.5112,49.44,50.47,3.352,68.3887,101.5
31/01/2017,1730.77,85167.4086,1194.0911,1277.21,17.91,46.86,48.3,3.026,66.7787,98.445
31/12/2016,1711.73,87577.5339,1276.4722,1315.87,19.174,48.24,49.06,2.906,66.615,95.463
30/11/2016,1743.79,87665.5886,1249.3091,1308.97,18.655,44.7,47.04,2.887,66.9637,96.022
31/10/2016,1674.91,90139.2139,1356.5071,1351.28,20.3363,41.6,42.46,2.876,66.995,95.53
30/09/2016,1660.71,89232.0575,1263.4362,1321.9,18.7148,48.33,49.68,2.924,67.525,96.143
31/08/2016,1638.62,81725.4863,1075.4241,1215.32,15.9956,49.1,49.69,2.288,67.26,95.891
31/07/2016,1619.95,85896.9868,1186.5961,1293.53,17.847,45.92,48.13,2.178,66.33,93.082
30/06/2016,1576.45,81552.6191,1021.4971,1232.75,15.4375,38.34,39.6,1.959,66.2475,94.586
31/05/2016,1559.53,84457.9163,1016.7501,1238.67,14.91,33.75,35.97,1.711,68.42,98.211
30/04/2016,1551.68,75901.3997,968.5799,1118.21,14.26,33.62,34.74,2.298,67.7925,99.606
31/03/2016,1535.81,70280.149,917.6898,1061.1,13.8482,37.04,37.28,2.337,66.1537,98.631
29/02/2016,1509.1,70803.3991,936.2219,1064.77,14.0848,41.65,44.61,2.235,66.6675,100.17
31/01/2016,1505.36,74708.3917,1017.7691,1142.11,15.55,46.59,49.56,2.321,65.265,96.946
31/12/2015,1495.44,73108.5868,951.5715,1115.09,14.5205,45.09,48.37,2.524,65.59,96.35
30/11/2015,1482.42,75379.2902,971.9579,1134.93,14.6275,49.2,54.15,2.689,66.4825,95.824
31/10/2015,1486.51,70196.0552,947.258,1095.8,14.7813,47.12,52.21,2.716,64.1362,97.336
30/09/2015,1484.34,74570.6183,1000.8411,1172.35,15.7355,59.47,63.59,2.832,63.6513,95.485
31/08/2015,1452.59,75940.4466,1068.2921,1190.58,16.7493,60.3,65.56,2.642,63.825,96.907
31/07/2015,1440.5,75208.4777,1025.8641,1184.37,16.1533,59.63,66.78,2.751,63.4225,94.6
30/06/2015,1423.81,73742.6494,1037.8231,1183.57,16.6595,47.6,55.11,2.64,62.4975,98.357
31/05/2015,1434.12,74729.1652,1022.3731,1213.18,16.6003,49.76,62.58,2.734,61.845,95.293
30/04/2015,1424.91,79764.7908,1072.2382,1283.79,17.2497,48.24,52.99,2.691,61.8725,94.804
31/03/2015,1426.08,74837.212,991.895,1184.37,15.7113,53.27,57.33,2.889,63.0425,90.269
