Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
30/04/2010,BSE,Contracts,20,0,54,0,0,0,0,54,0,54
30/04/2010,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/04/2010,BSE,Turnover,20,0,1.42,0,0,0,0,1.42,0,1.42
30/04/2010,NSE,Contracts,20,"1,63,03,127.00","1,07,85,388.00","1,77,73,216.00","14,65,075.00","1,14,18,975.00","4,84,789.00","2,22,04,363.00","3,60,26,207.00","5,82,30,570.00"
30/04/2010,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/04/2010,NSE,Turnover,20,"4,41,522.11","2,79,572.31","4,63,950.24","57,692.31","4,09,844.33","19,038.73","6,89,416.64","9,82,203.39","16,71,620.03"
31/05/2010,BSE,Contracts,21,0,148,10,0,0,0,148,10,158
31/05/2010,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/05/2010,BSE,Turnover,21,0,3.71,0.25,0,0,0,3.71,0.25,3.96
31/05/2010,NSE,Contracts,21,"2,35,02,366.00","1,68,43,664.00","2,43,89,036.00","16,96,094.00","1,38,86,580.00","6,42,775.00","3,07,30,244.00","5,02,30,271.00","8,09,60,515.00"
31/05/2010,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/05/2010,NSE,Turnover,21,"6,11,698.73","3,95,612.68","6,05,758.84","58,536.63","4,31,592.96","21,295.82","8,27,205.64","12,97,290.02","21,24,495.66"
30/06/2010,BSE,Contracts,22,0,93,0,0,0,0,93,0,93
30/06/2010,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
30/06/2010,BSE,Turnover,22,0,2.4,0,0,0,0,2.4,0,2.4
30/06/2010,NSE,Contracts,22,"2,05,96,147.00","1,54,34,326.00","2,46,13,415.00","16,57,220.00","1,41,56,191.00","6,20,790.00","2,95,90,517.00","4,74,87,572.00","7,70,78,089.00"
30/06/2010,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
30/06/2010,NSE,Turnover,22,"5,49,697.99","3,72,265.66","6,20,244.97","52,296.99","4,21,843.21","19,250.16","7,94,108.87","12,41,490.12","20,35,598.98"
31/07/2010,BSE,Contracts,22,0,40,0,0,0,0,40,0,40
31/07/2010,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/07/2010,BSE,Turnover,22,0,1.08,0,0,0,0,1.08,0,1.08
31/07/2010,NSE,Contracts,22,"1,82,31,436.00","1,15,30,614.00","2,06,57,577.00","18,79,794.00","1,48,77,996.00","5,79,390.00","2,64,08,610.00","4,13,48,197.00","6,77,56,807.00"
31/07/2010,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/07/2010,NSE,Turnover,22,"5,01,797.91","2,89,423.25","5,41,556.45","56,722.59","4,23,421.94","16,987.90","7,12,845.20","11,17,064.86","18,29,910.05"
31/08/2010,BSE,Contracts,22,0,114,0,0,0,0,114,0,114
31/08/2010,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/08/2010,BSE,Turnover,22,0,3.1,0,0,0,0,3.1,0,3.1
31/08/2010,NSE,Contracts,22,"1,90,36,006.00","1,15,66,700.00","2,34,00,978.00","23,40,573.00","1,66,20,194.00","7,47,574.00","2,81,86,894.00","4,55,25,131.00","7,37,12,025.00"
31/08/2010,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/08/2010,NSE,Turnover,22,"5,32,013.12","2,99,130.49","6,25,452.52","76,819.79","4,96,266.72","24,044.98","7,95,397.21","12,58,330.40","20,53,727.62"
30/09/2010,BSE,Contracts,21,0,122,0,0,0,0,122,0,122
30/09/2010,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
30/09/2010,BSE,Turnover,21,0,3.59,0,0,0,0,3.59,0,3.59
30/09/2010,NSE,Contracts,21,"2,73,14,589.00","1,37,36,522.00","3,08,49,458.00","25,84,821.00","1,78,65,765.00","7,38,494.00","3,16,02,287.00","6,14,87,362.00","9,30,89,649.00"
30/09/2010,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
