Month,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_Close,Market_Cap_BSE_in_Crore,Nifty_Index,Sensex_Index
30/04/2013,"1,322.52","1,53,316.63","2,51,778.54","12,588.93","19,037.85","1,53,316.63","2,51,778.51","65,68,078.89","25,434.38","66,45,784.79","5,930.20","19,504.18"
31/05/2013,"1,486.68","1,69,133.44","2,94,387.62","12,799.46","19,801.66","1,69,133.44","2,94,387.61","65,98,482.03","25,746.25","66,78,736.64","5,985.95","19,760.30"
30/06/2013,"1,369.08","1,48,957.11","2,44,321.02","12,216.05","17,845.59","1,48,957.11","2,44,321.01","63,26,780.21","25,238.01","64,05,118.40","5,842.20","19,395.81"
31/07/2013,"1,627.39","1,70,393.17","2,84,925.44","12,388.06","17,508.09","1,70,393.17","2,84,925.40","61,80,942.52","25,087.70","62,63,105.94","5,742.00","19,345.70"
31/08/2013,"1,720.44","1,73,867.18","2,91,634.03","14,581.70","16,951.16","1,73,867.18","2,91,634.02","59,38,352.33","24,091.52","60,30,077.68","5,471.80","18,619.72"
30/09/2013,"1,575.14","1,67,024.90","2,83,474.96","14,173.75","17,996.78","1,67,024.90","2,83,474.94","62,88,879.93","25,115.07","63,86,134.35","5,735.30","19,379.77"
31/10/2013,"1,513.95","1,71,482.87","2,78,926.40","13,282.21","18,423.81","1,71,482.87","2,78,926.38","67,67,882.01","27,463.67","68,44,233.09","6,299.15","21,164.52"
30/11/2013,"1,438.73","1,58,879.08","2,58,550.10","12,927.51","17,970.69","1,58,879.08","2,58,550.09","67,27,659.92","26,968.03","68,10,475.34","6,176.10","20,791.93"
31/12/2013,"1,488.89","1,76,062.84","2,74,383.49","13,065.88","18,428.69","1,76,062.84","2,74,383.49","69,64,212.20","27,474.68","70,44,257.84","6,304.00","21,170.68"
31/01/2014,"1,646.02","1,87,702.91","3,05,302.84","13,274.04","18,547.95","1,87,702.91","3,05,302.80","66,67,591.60","26,603.35","67,44,398.38","6,089.50","20,513.85"
28/02/2014,"1,229.23","1,27,111.50","2,23,602.47","11,768.55","18,190.40","1,27,111.50","2,23,602.47","68,09,508.51","27,397.07","68,93,083.08","6,276.95","21,120.12"
31/03/2014,"1,645.84","2,09,735.20","3,38,865.67","16,136.46","20,589.26","2,09,735.20","3,38,865.66","73,46,508.03","29,090.47","74,15,296.09","6,704.20","22,386.27"
30/04/2014,"1,668.37","2,19,805.53","3,22,419.61","17,912.20","19,325.41","2,19,805.68","3,22,417.79","74,20,763.83","29,114.20","74,94,790.68","6,696.40","22,417.80"
31/05/2014,"2,524.68","3,50,385.23","5,28,144.12","25,149.72","20,919.26","3,50,385.23","5,28,144.12","83,29,589.86","31,447.29","84,07,833.93","7,229.95","24,217.34"
30/06/2014,"2,489.47","3,60,238.53","5,05,828.45","24,087.07","20,318.76","3,60,238.53","5,05,828.42","89,37,351.25","33,025.13","90,20,000.29","7,611.35","25,413.78"
31/07/2014,"2,274.29","2,90,044.47","4,66,546.81","21,206.67","20,514.00","2,90,044.47","4,66,546.79","89,20,704.03","33,616.27","90,10,269.52","7,721.30","25,894.97"
31/08/2014,"1,770.62","2,19,509.90","3,48,406.07","18,337.16","19,677.08","2,19,510.07","3,48,405.97","91,60,220.35","34,592.46","92,59,480.92","7,954.35","26,638.11"
30/09/2014,"2,372.22","3,07,759.92","4,65,571.77","21,162.35","19,625.99","3,07,759.94","4,65,571.04","92,77,543.26","34,595.31","93,82,248.66","7,964.80","26,630.51"
31/10/2014,"1,627.44","1,87,559.20","3,22,268.96","17,903.83","19,802.15","1,87,559.22","3,22,268.95","95,87,605.50","36,188.03","96,84,691.40","8,322.20","27,865.83"
30/11/2014,"1,912.19","2,35,382.34","3,97,529.78","22,084.99","20,789.19","2,35,382.34","3,97,529.70","98,61,067.18","37,282.24","99,82,564.20","8,588.25","28,693.99"
31/12/2014,"2,119.46","2,53,110.50","4,21,607.82","19,163.99","19,892.22","2,53,110.50","4,21,607.86","97,18,418.33","35,782.12","98,36,377.16","8,282.70","27,499.42"
31/01/2015,"2,244.04","2,56,830.67","4,57,558.16","21,788.48","20,389.97","2,56,830.67","4,57,558.14","1,02,23,249.68","37,991.85","1,03,46,281.64","8,808.90","29,182.95"
28/02/2015,"2,229.90","2,74,718.12","4,71,127.60","23,556.38","21,127.71","2,74,718.12","4,71,127.58","1,03,39,637.54","38,121.97","1,04,66,660.65","8,901.85","29,220.12"
31/03/2015,"2,206.15","2,63,189.60","4,77,490.87","22,737.66","21,643.67","2,63,189.60","4,77,490.84","1,00,39,706.00","36,448.49","1,01,49,289.97","8,491.00","27,957.49"
30/04/2015,"2,044.59","2,27,913.17","4,46,770.38","23,514.23","21,851.36","2,27,913.17","4,46,770.37","98,27,169.60","35,192.81","99,68,015.25","8,181.50","27,011.31"
31/05/2015,"1,778.59","2,01,263.08","4,22,539.78","21,126.99","23,757.04","2,01,263.08","4,22,539.77","1,01,73,675.44","36,262.09","1,03,26,686.25","8,433.65","27,828.44"
30/06/2015,"1,816.99","2,33,451.18","3,93,659.43","17,893.61","21,665.46","2,33,451.18","3,93,659.42","99,96,293.47","36,149.33","1,01,43,510.56","8,368.50","27,780.83"
31/07/2015,"2,117.02","2,67,766.98","4,53,737.60","19,727.72","21,432.83","2,67,766.98","4,53,737.60","1,03,23,978.43","36,647.41","1,04,79,395.61","8,532.85","28,114.56"
31/08/2015,"2,255.03","2,89,519.66","4,93,753.92","23,512.09","21,895.62","2,89,519.66","4,93,753.92","96,78,500.17","34,254.39","98,27,930.47","7,971.30","26,283.09"
30/09/2015,"1,771.63","2,12,367.23","3,82,838.26","19,141.91","21,609.41","2,12,367.23","3,82,838.21","95,69,865.67","34,103.73","96,48,121.92","7,948.90","26,154.83"
31/10/2015,"1,774.46","2,40,365.21","3,91,943.53","19,597.18","22,088.10","2,40,365.21","3,91,943.51","97,43,736.13","34,722.63","98,33,358.74","8,065.80","26,656.83"
30/11/2015,"1,602.55","2,28,700.64","3,57,949.01","18,839.42","22,336.17","2,28,700.64","3,57,949.00","97,81,948.10","34,080.92","98,88,226.71","7,935.25","26,145.67"
31/12/2015,"1,830.57","2,83,065.23","3,96,695.17","18,031.60","21,670.59","2,83,065.23","3,96,695.16","99,34,695.78","34,063.89","1,00,37,733.65","7,946.35","26,117.54"
