Month,Exchange,Companies_Listed,Companies_Permitted,Companies_Traded,Trading_Days,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_High,Sensex_Nifty_Low,Sensex_Nifty_Close
30-04-2013,BSE,"5,224.00",93,"2,447.00",20.00,220.14,"35,268.62","40,980.02","2,049.00","18,615.44","35,268.62","40,979.99","66,45,784.79","19,622.68","18,144.22","19,504.18"
30-04-2013,NSE,"1,671.00",75,"1,536.00",20.00,"1,102.38","1,18,048.01","2,10,798.52","10,539.93","19,122.20","1,18,048.01","2,10,798.52","64,90,372.99","5,962.30","5,477.20","5,930.20"
31-05-2013,BSE,"5,230.00",93,"2,464.00",23.00,241.37,"40,348.39","49,996.07","2,173.74","20,713.46","40,348.39","49,996.06","66,78,736.64","20,443.62","19,451.26","19,760.30"
31-05-2013,NSE,"1,673.00",75,"1,521.00",23.00,"1,245.31","1,28,785.05","2,44,391.55","10,625.72","19,624.93","1,28,785.05","2,44,391.55","65,18,227.41","6,229.45","5,910.95","5,985.95"
30-06-2013,BSE,"5,241.00",93,"2,478.00",20.00,245.36,"33,323.89","36,377.41","1,818.87","14,826.14","33,323.89","36,377.40","64,05,118.40","19,860.19","18,467.16","19,395.81"
30-06-2013,NSE,"1,633.00",76,"1,509.00",20.00,"1,123.72","1,15,633.22","2,07,943.61","10,397.18","18,504.87","1,15,633.22","2,07,943.61","62,48,442.01","6,011.00","5,566.25","5,842.20"
31-07-2013,BSE,"5,249.00",92,"2,339.00",23.00,342.75,"37,643.10","41,535.12","1,805.87","12,118.20","37,643.10","41,535.08","62,63,105.94","20,351.06","19,126.82","19,345.70"
31-07-2013,NSE,"1,672.00",76,"1,516.00",23.00,"1,284.64","1,32,750.07","2,43,390.32","10,582.19","18,946.14","1,32,750.07","2,43,390.32","60,98,779.09","6,093.35","5,675.75","5,742.00"
31-08-2013,BSE,"5,257.00",92,"2,372.00",20.00,340.22,"35,412.49","40,875.72","2,043.79","12,014.50","35,412.49","40,875.71","60,30,077.68","19,569.20","17,448.71","18,619.72"
31-08-2013,NSE,"1,672.00",76,"1,519.00",20.00,"1,380.22","1,38,454.69","2,50,758.31","12,537.92","18,168.04","1,38,454.69","2,50,758.31","58,46,626.97","5,808.50","5,118.85","5,471.80"
30-09-2013,BSE,"5,267.00",92,"2,389.00",20.00,318.66,"36,376.32","39,898.47","1,994.92","12,520.70","36,376.32","39,898.45","63,86,134.35","20,739.69","18,166.17","19,379.77"
30-09-2013,NSE,"1,672.00",76,"1,511.00",20.00,"1,256.48","1,30,648.58","2,43,576.49","12,178.82","19,385.58","1,30,648.58","2,43,576.49","61,91,625.51","6,142.50","5,318.90","5,735.30"
31-10-2013,BSE,"5,277.00",92,"2,621.00",21.00,328.05,"40,134.75","41,018.41","1,953.26","12,503.71","40,134.75","41,018.39","68,44,233.09","21,205.44","19,264.72","21,164.52"
31-10-2013,NSE,"1,674.00",76,"1,521.00",21.00,"1,185.90","1,31,348.12","2,37,907.99","11,328.95","20,061.47","1,31,348.12","2,37,907.99","66,91,530.92","6,309.05","5,700.95","6,299.15"
30-11-2013,BSE,"5,286.00",92,"2,636.00",20.00,314.78,"36,547.26","40,767.61","2,038.38","12,951.14","36,547.26","40,767.60","68,10,475.34","21,321.53","20,137.67","20,791.93"
30-11-2013,NSE,"1,679.00",75,"1,525.00",20.00,"1,123.95","1,22,331.82","2,17,782.49","10,889.12","19,376.50","1,22,331.82","2,17,782.49","66,44,844.49","6,342.95","5,972.45","6,176.10"
31-12-2013,BSE,"5,294.00",92,"2,682.00",21.00,327.86,"42,102.02","43,566.18","2,074.58","13,288.04","42,102.02","43,566.18","70,44,257.84","21,483.74","20,568.70","21,170.68"
31-12-2013,NSE,"1,679.00",75,"1,535.00",21.00,"1,161.03","1,33,960.82","2,30,817.31","10,991.30","19,880.33","1,33,960.82","2,30,817.31","68,84,166.56","6,415.25","6,129.95","6,304.00"
31-01-2014,BSE,"5,305.00",92,"2,691.00",23.00,360.36,"46,994.88","49,673.04","2,159.70","13,784.28","46,994.88","49,673.00","67,44,398.38","21,409.66","20,343.78","20,513.85"
31-01-2014,NSE,"1,683.00",74,"1,536.00",23.00,"1,285.66","1,40,708.03","2,55,629.80","11,114.34","19,883.17","1,40,708.03","2,55,629.80","65,90,784.81","6,358.30","6,027.25","6,089.50"
28-02-2014,BSE,"5,319.00",92,"2,791.00",19.00,252.97,"30,742.21","34,851.65","1,834.30","13,776.99","30,742.21","34,851.65","68,93,083.08","21,140.51","19,963.12","21,120.12"
28-02-2014,NSE,"1,684.00",74,"1,528.00",19.00,976.26,"96,369.29","1,88,750.82","9,934.25","19,334.01","96,369.29","1,88,750.82","67,25,933.93","6,282.70","5,933.30","6,276.95"
31-03-2014,BSE,"5,336.00",92,"2,841.00",21.00,339.63,"65,057.30","62,124.50","2,958.31","18,291.82","65,057.30","62,124.49","74,15,296.09","22,467.21","20,920.98","22,386.27"
31-03-2014,NSE,"1,688.00",75,"1,540.00",21.00,"1,306.21","1,44,677.90","2,76,741.17","13,178.15","21,186.62","1,44,677.90","2,76,741.17","72,77,719.97","6,730.05","6,212.25","6,704.20"
30-04-2014,BSE,"5,355.00",92,"2,877.00",18.00,423.42,"57,043.20","49,716.37","2,762.02","11,741.62","57,043.35","49,714.55","74,94,790.68","22,939.31","22,197.51","22,417.80"
30-04-2014,NSE,"1,690.00",75,"1,551.00",18.00,"1,244.95","1,62,762.33","2,72,703.24","15,150.18","21,904.72","1,62,762.33","2,72,703.24","73,46,736.98","6,869.85","6,650.40","6,696.40"
31-05-2014,BSE,"5,379.00",92,"3,086.00",21.00,712.62,"82,488.83","92,121.92","4,386.76","12,927.22","82,488.83","92,121.92","84,07,833.93","25,375.63","22,277.04","24,217.34"
31-05-2014,NSE,"1,692.00",75,"1,551.00",21.00,"1,812.06","2,67,896.40","4,36,022.20","20,762.96","24,062.26","2,67,896.40","4,36,022.20","82,51,345.78","7,563.50","6,638.55","7,229.95"
30-06-2014,BSE,"5,406.00",92,"3,135.00",21.00,699.86,"94,631.39","84,140.63","4,006.70","12,022.49","94,631.39","84,140.60","90,20,000.29","25,725.12","24,270.20","25,413.78"
30-06-2014,NSE,"1,695.00",75,"1,553.00",21.00,"1,789.61","2,65,607.14","4,21,687.82","20,080.37","23,563.17","2,65,607.14","4,21,687.82","88,54,702.21","7,700.05","7,239.50","7,611.35"
31-07-2014,BSE,"5,433.00",92,"3,022.00",22.00,631.43,"74,464.18","75,119.03","3,414.50","11,896.65","74,464.18","75,119.01","90,10,269.52","26,300.17","24,892.00","25,894.97"
31-07-2014,NSE,"1,696.00",75,"1,555.00",22.00,"1,642.86","2,15,580.29","3,91,427.78","17,792.17","23,826.06","2,15,580.29","3,91,427.78","88,31,138.53","7,840.95","7,422.15","7,721.30"
31-08-2014,BSE,"5,458.00",92,"3,032.00",19.00,497.69,"64,862.66","53,648.03","2,823.58","10,779.41","64,862.83","53,647.93","92,59,480.92","26,674.38","25,232.82","26,638.11"
31-08-2014,NSE,"1,696.00",74,"1,554.00",19.00,"1,272.93","1,54,647.24","2,94,758.04","15,513.58","23,155.89","1,54,647.24","2,94,758.04","90,60,959.78","7,968.25","7,540.10","7,954.35"
30-09-2014,BSE,"5,476.00",92,"2,984.00",22.00,698.83,"81,247.76","82,310.74","3,741.40","11,778.36","81,247.78","82,310.01","93,82,248.66","27,354.99","26,220.49","26,630.51"
30-09-2014,NSE,"1,699.00",73,"1,555.00",22.00,"1,673.39","2,26,512.16","3,83,261.03","17,420.96","22,903.27","2,26,512.16","3,83,261.03","91,72,837.85","8,180.20","7,841.80","7,964.80"
31-10-2014,BSE,"5,498.00",92,"3,023.00",18.00,433.82,"51,787.71","51,078.01","2,837.67","11,774.01","51,787.73","51,078.00","96,84,691.40","27,894.32","25,910.77","27,865.83"
31-10-2014,NSE,"1,706.00",70,"1,555.00",18.00,"1,193.62","1,35,771.49","2,71,190.95","15,066.16","22,719.96","1,35,771.49","2,71,190.95","94,90,519.59","8,330.75","7,723.85","8,322.20"
30-11-2014,BSE,"5,518.00",92,"3,106.00",18.00,544.87,"64,103.52","67,892.08","3,771.78","12,460.23","64,103.52","67,892.00","99,82,564.20","28,822.37","27,739.56","28,693.99"
30-11-2014,NSE,"1,707.00",69,"1,558.00",18.00,"1,367.32","1,71,278.82","3,29,637.70","18,313.21","24,108.23","1,71,278.82","3,29,637.70","97,39,570.16","8,617.00","8,290.25","8,588.25"
31-12-2014,BSE,"5,541.00",92,"2,977.00",22.00,594.05,"75,588.22","67,134.97","3,051.59","11,301.23","75,588.22","67,135.01","98,36,377.16","28,809.64","26,469.42","27,499.42"
31-12-2014,NSE,"1,708.00",63,"1,551.00",22.00,"1,525.41","1,77,522.28","3,54,472.85","16,112.40","23,237.85","1,77,522.28","3,54,472.85","96,00,459.49","8,626.95","7,961.35","8,282.70"
31-01-2015,BSE,"5,575.00",93,"2,960.00",21.00,634.30,"66,694.27","73,686.02","3,508.86","11,616.90","66,694.27","73,686.00","1,03,46,281.64","29,844.16","26,776.12","29,182.95"
31-01-2015,NSE,"1,718.00",4,"1,549.00",21.00,"1,609.74","1,90,136.40","3,83,872.14","18,279.63","23,846.91","1,90,136.40","3,83,872.14","1,01,00,217.71","8,996.60","8,065.45","8,808.90"
28-02-2015,BSE,"5,596.00",93,"2,854.00",20.00,646.07,"70,700.19","78,409.11","3,920.46","12,136.32","70,700.19","78,409.09","1,04,66,660.65","29,522.86","28,044.49","29,220.12"
28-02-2015,NSE,"1,719.00",4,"1,503.00",20.00,"1,583.83","2,04,017.93","3,92,718.49","19,635.92","24,795.43","2,04,017.93","3,92,718.49","1,02,12,614.43","8,941.10","8,470.50","8,901.85"
31-03-2015,BSE,"5,624.00",93,"2,818.00",21.00,593.76,"73,142.90","79,588.14","3,789.91","13,404.09","73,142.90","79,588.11","1,01,49,289.97","30,024.74","27,248.45","27,957.49"
31-03-2015,NSE,"1,733.00",4,"1,514.00",21.00,"1,612.39","1,90,046.70","3,97,902.73","18,947.75","24,677.89","1,90,046.70","3,97,902.73","99,30,122.02","9,119.20","8,269.15","8,491.00"
30-04-2015,BSE,"5,650.00",93,"2,808.00",19.00,538.66,"65,250.41","67,421.27","3,548.49","12,516.48","65,250.41","67,421.26","99,68,015.25","29,094.61","26,897.54","27,011.31"
30-04-2015,NSE,"1,740.00",4,"1,518.00",19.00,"1,505.93","1,62,662.76","3,79,349.11","19,965.74","25,190.39","1,62,662.76","3,79,349.11","96,86,323.94","8,844.80","8,144.75","8,181.50"
31-05-2015,BSE,"5,672.00",93,"2,785.00",20.00,326.08,"48,327.43","60,604.61","3,030.23","18,585.81","48,327.43","60,604.60","1,03,26,686.25","28,071.16","26,423.99","27,828.44"
31-05-2015,NSE,"1,750.00",4,"1,519.00",20.00,"1,452.51","1,52,935.65","3,61,935.17","18,096.76","24,917.95","1,52,935.65","3,61,935.17","1,00,20,664.62","8,489.55","7,997.15","8,433.65"
30-06-2015,BSE,"5,688.00",93,"2,801.00",22.00,291.72,"55,677.23","60,370.22","2,744.10","20,694.58","55,677.23","60,370.21","1,01,43,510.56","27,968.75","26,307.07","27,780.83"
30-06-2015,NSE,"1,751.00",4,"1,517.00",22.00,"1,525.27","1,77,773.95","3,33,289.21","15,149.51","21,851.15","1,77,773.95","3,33,289.21","98,49,076.38","8,467.15","7,940.30","8,368.50"
31-07-2015,BSE,"5,725.00",93,"2,984.00",23.00,374.50,"70,989.66","70,253.67","3,054.51","18,759.32","70,989.66","70,253.67","1,04,79,395.61","28,578.33","27,416.39","28,114.56"
31-07-2015,NSE,"1,756.00",4,"1,521.00",23.00,"1,742.52","1,96,777.32","3,83,483.93","16,673.21","22,007.41","1,96,777.32","3,83,483.93","1,01,68,561.24","8,654.75","8,315.40","8,532.85"
31-08-2015,BSE,"5,752.00",93,"2,755.00",21.00,392.70,"73,699.09","73,821.68","3,515.32","18,798.49","73,699.09","73,821.68","98,27,930.47","28,417.59","25,298.42","26,283.09"
31-08-2015,NSE,"1,772.00",4,"1,527.00",21.00,"1,862.33","2,15,820.57","4,19,932.24","19,996.77","22,548.70","2,15,820.57","4,19,932.24","95,29,069.87","8,621.55","7,667.25","7,971.30"
30-09-2015,BSE,"5,763.00",83,"2,758.00",20.00,274.95,"48,259.96","54,426.34","2,721.32","19,795.00","48,259.96","54,426.29","96,48,121.92","26,471.82","24,833.54","26,154.83"
30-09-2015,NSE,"1,779.00",4,"1,535.00",20.00,"1,496.68","1,64,107.27","3,28,411.92","16,420.60","21,942.73","1,64,107.27","3,28,411.92","94,91,609.42","8,055.00","7,539.50","7,948.90"
31-10-2015,BSE,"5,788.00",64,"2,791.00",20.00,311.45,"61,305.39","58,142.83","2,907.14","18,668.43","61,305.39","58,142.81","98,33,358.74","27,618.14","26,168.71","26,656.83"
31-10-2015,NSE,"1,781.00",4,"1,534.00",20.00,"1,463.01","1,79,059.82","3,33,800.70","16,690.04","22,816.10","1,79,059.82","3,33,800.70","96,54,113.52","8,336.30","7,930.65","8,065.80"
30-11-2015,BSE,"5,806.00",64,"2,898.00",19.00,286.34,"64,992.56","50,799.19","2,673.64","17,740.86","64,992.56","50,799.18","98,88,226.71","26,824.30","25,451.42","26,145.67"
30-11-2015,NSE,"1,786.00",4,"1,541.00",19.00,"1,316.21","1,63,708.08","3,07,149.82","16,165.78","23,335.87","1,63,708.08","3,07,149.82","96,75,669.49","8,116.10","7,714.15","7,935.25"
31-12-2015,BSE,"5,835.00",64,"2,891.00",22.00,350.50,"84,598.01","61,741.37","2,806.43","17,615.23","84,598.01","61,741.36","1,00,37,733.65","26,256.42","24,867.73","26,117.54"
31-12-2015,NSE,"1,794.00",4,"1,549.00",22.00,"1,480.07","1,98,467.22","3,34,953.80","15,225.17","22,630.96","1,98,467.22","3,34,953.80","98,31,657.91","7,979.30","7,551.05","7,946.35"
31-01-2016,BSE,"5,859.00",53,"2,766.00",20.00,360.40,"72,524.00","63,576.24","3,178.81","17,640.47","72,524.58","63,576.24","93,92,133.43","26,197.27","23,839.76","24,870.69"
31-01-2016,NSE,"1,797.00",4,"1,548.00",20.00,"1,552.14","2,09,338.78","3,52,083.64","17,604.18","22,683.69","2,09,338.78","3,52,083.64","92,09,386.30","7,972.55","7,241.50","7,563.55"
29-02-2016,BSE,"5,883.00",53,"2,613.00",21.00,319.04,"57,868.36","57,158.37","2,721.83","17,915.74","57,868.36","57,158.34","85,83,144.70","25,002.32","22,494.61","23,002.00"
29-02-2016,NSE,"1,800.00",4,"1,550.00",21.00,"1,600.98","1,95,172.14","3,45,645.94","16,459.33","21,589.69","1,95,172.14","3,45,645.94","84,22,857.36","7,600.45","6,825.80","6,987.05"
31-03-2016,BSE,"5,911.00",53,"2,721.00",20.00,290.54,"59,052.97","61,773.41","3,088.67","21,261.59","59,052.97","61,773.39","94,75,328.34","25,479.62","23,133.18","25,341.86"
31-03-2016,NSE,"1,808.00",4,"1,563.00",20.00,"1,520.02","1,85,947.49","3,56,947.39","17,847.37","23,483.09","1,85,947.49","3,56,947.39","93,10,471.47","7,777.60","7,035.10","7,738.40"
30-04-2016,BSE,"5,928.00",53,"2,637.00",18.00,268.34,"41,779.02","49,174.08","2,731.89","18,325.29","41,779.02","49,174.08","97,10,538.63","26,100.54","24,523.20","25,606.62"
30-04-2016,NSE,"1,806.00",4,"1,561.00",18.00,"1,328.64","1,62,828.01","3,09,479.54","17,193.31","23,293.02","1,62,828.01","3,09,479.54","95,22,589.15","7,992.00","7,516.85","7,849.80"
31-05-2016,BSE,"5,948.00",53,"2,714.00",22.00,342.82,"48,319.56","59,520.69","2,705.49","17,362.08","48,319.56","59,520.69","99,28,678.17","26,837.20","25,057.93","26,667.96"
