Month,USA (S&P500),India (Nifty),China,Brazil,UK,France,Germany,Japan,Hong Kong,S Korea,Singapore,Russia,S Africa
30/10/2024,5832.92,24448.75,3873.41,130729.93,8219.61,7511.11,19478.07,39277.39,20331.48,2591.03,3564.02,,87300.97
30/09/2024,5762.48,25810.85,4017.85,131816.44,8236.95,7635.75,19324.93,37919.55,21133.68,2593.27,3585.29,3123.43,86548.42
30/08/2024,5648.4,25235.9,3321.43,136004.01,8376.63,7630.95,18906.92,38647.75,17989.07,2674.31,3442.93,3123.43,83749.86
31/07/2024,5522.3,24951.15,3442.08,127651.81,8367.98,7531.49,18508.65,39101.82,17344.6,2770.69,3455.94,3123.43,82765.12
28/06/2024,5460.48,24010.6,3461.66,123906.55,8164.12,7479.4,18235.45,39583.08,17718.61,2797.82,3332.8,3123.43,79707.11
31/05/2024,5277.51,22530.7,3579.92,122098.09,8275.38,7992.87,18497.94,38487.9,18079.61,2636.52,3336.59,3217.19,76704.26
30/04/2024,5035.69,22604.85,3604.39,125924.19,8144.13,7984.93,17932.17,38405.66,17763.03,2692.06,3292.69,3469.83,76076.17
29/03/2024,5254.35,22326.9,3537.48,128106.1,7952.62,8205.81,18492.49,40369.44,16541.42,2746.63,3224.01,3332.53,74535.99
29/02/2024,5096.27,21982.8,3516.08,129020.02,7630.02,7927.43,17678.19,39166.19,16511.44,2642.36,3141.85,3256.8,72729.73
31/01/2024,4845.65,21725.7,3215.35,127752.28,7630.57,7656.75,16903.76,36286.71,15485.07,2497.09,3153.01,3214.19,74555.87
29/12/2023,4769.83,21731.4,3431.11,134185.24,7733.24,7543.18,16751.64,33464.17,17047.39,2655.28,3240.27,3099.11,76893.15
30/11/2023,4567.8,20133.15,3496.2,127331.12,7453.75,7310.77,16215.43,33486.89,17042.88,2535.29,3072.99,3165.79,75534.36
31/10/2023,4193.8,19079.6,3572.51,113143.67,7321.72,6885.65,14810.34,30858.85,17112.48,2277.99,3067.74,3200.97,69653.44
29/09/2023,4288.05,19638.3,3689.52,116565.17,7608.08,7135.06,15386.58,31857.62,17809.66,2465.07,3217.41,3133.26,72382.89
31/08/2023,4507.66,19253.8,3765.27,115741.81,7439.13,7316.7,15947.08,32619.34,18382.06,2556.27,3233.3,3227.99,74953.73
31/07/2023,4588.96,19753.8,4014.63,121942.98,7699.41,7497.78,16446.83,33172.22,20078.94,2632.58,3373.98,3073.5,78977.89
30/06/2023,4450.38,19189.05,3842.45,118087,7531.53,7400.06,16147.9,33189.04,18916.43,2564.28,3205.91,2797.37,76027.83
31/05/2023,4179.83,18534.4,3798.54,108335.07,7446.14,7098.7,15664.02,30887.88,18234.27,2577.12,3158.8,2717.64,75067.47
28/04/2023,4169.48,18065,4029.09,104431.63,7870.57,7491.5,15922.38,28856.44,19894.57,2501.53,3270.51,2634.94,78218.37
31/03/2023,4109.31,17359.75,4050.93,101882.2,7631.74,7322.39,15628.84,28041.48,20400.11,2476.86,3258.9,2450.67,76100.17
28/02/2023,3970.15,17303.95,4069.46,104931.93,7876.28,7267.93,15365.14,27445.56,19785.94,2412.85,3262.63,2253.16,77733.87
31/01/2023,4076.6,17662.15,4156.86,113430.54,7771.7,7082.42,15128.27,27327.11,21842.33,2425.08,3365.67,2225.6,79476.6
30/12/2022,3839.5,18105.3,3871.63,109734.6,7451.74,6473.76,13923.59,26094.5,19781.41,2236.4,3251.32,2154.12,73048.57
30/11/2022,4080.11,18758.35,3853.04,112486.01,7573.05,6738.55,14397.04,27968.99,18597.23,2472.53,3290.49,2174.53,74828
31/10/2022,3871.98,18012.2,3508.7,116037.08,7094.53,6266.77,13253.74,27587.46,14687.02,2293.61,3093.11,2166.61,66671.65
30/09/2022,3585.62,17094.35,3804.89,110036.79,6893.81,5762.34,12114.36,25937.21,17222.83,2155.49,3130.24,1957.31,63726.37
31/08/2022,3955,17759.3,4078.84,109522.88,7284.15,6125.1,12834.96,28091.53,19954.39,2472.05,3221.67,2400.08,67257.14
29/07/2022,4130.29,17158.25,4170.1,103164.69,7423.43,6448.5,13484.05,27801.64,20156.51,2451.5,3211.56,2213.81,68934.01
30/06/2022,3785.38,15780.25,4485.01,98541.95,7169.28,5922.86,12783.77,26393.04,21859.79,2332.64,3102.21,2204.85,66223.31
31/05/2022,4132.15,16584.55,4091.52,111350.51,7607.66,6468.8,14388.35,27279.8,21415.2,2685.9,3232.49,2355.75,72094.87
29/04/2022,4131.93,17102.55,4016.24,107876.16,7544.55,6533.77,14097.88,26847.9,21089.39,2695.05,3356.9,2445.17,72438.25
31/03/2022,4530.41,17464.75,4222.6,119999.23,7515.68,6659.87,14414.75,27821.43,21996.85,2757.65,3408.52,2703.51,75497.15
28/02/2022,4373.94,16793.9,4581.65,113141.94,7458.25,6658.83,14461.02,26526.82,22713.02,2699.18,3242.24,2470.48,76090.51
