Month,NSEBANK Index,NSEIT Index,NSEAUTO Index,NSEFIN Index,NSEFMCG Index,NSEPSBK Index,NSEPHRM Index,NSEMET Index,NSEREAL Index,NSEPSE Index,NSEMDSM Index,DEFTY Index,NIFTYJR Index,NSE200 Index,INVIXN Index,NIFTYM50 Index,NSE100 Index,NIFTY Index,S&P500 Index,NIFTYTR Index,CPSE Index,NSECON Index,NIFTYS Index,NSEPBANK Index,NSEINFR Index,NSEAP Index,NSESRV Index,NSEMED Index,NSEMNC Index,NSECMD Index,NSEMNCTR Index,NSEPSUTR Index,BSESML Index,BSEMID Index,BSE500 Index
30/10/2024,51987.35,42079.65,23753.25,24124.05,59783.7,6780.95,22443.6,9404.6,1011.1,10271.85,19801.85,10083.57,70722,13753.6,15.3725,15761.1,25305.55,24435.85,5832.92,36352.63,6629.5,11605.3,24435.85,25481.55,8826.95,56347.6,32051.15,1973.75,29497.7,8917.8,45330.67,9149.73,54119.88,46380.73,35999.25
30/09/2024,52978.1,41946.1,27027.2,24480.3,65540.35,6756.15,23281.2,10198.35,1099,11286,20951.9,10672.22,77095.15,14610.8,12.7875,16883.35,26890.15,25810.85,5762.48,38315.21,7258.05,12826.85,25810.85,26501.85,9574.8,60409.8,33007.5,2138.5,32582,9825.75,50588.55,9145.94,57130.93,49351.91,38227.64
31/08/2024,51351,42787.8,26172.8,23637.9,63059.75,6985.8,23217.6,9405.25,1053.4,11493.6,20620.05,10425.78,75279.8,14295.7,13.3925,16618.8,26274.35,25235.9,5648.4,37461.73,7401.3,12077.7,25235.9,25687.75,9425.75,60274.95,32057.3,2104.5,30975.7,9484.2,48094.51,9456.87,56021.55,49065.36,37459.06
31/07/2024,51553.4,40851.1,26685.25,23412.2,62082.2,7396.95,21777.15,9583.4,1093.75,11684.2,20491.15,10325.7,74788.1,14170.8,13.25,16661.65,26025.6,24951.15,5522.3,36959.48,7511.9,11806.05,24951.15,25712.1,9499.45,60090.65,31458.3,2149.7,31305.8,9654.1,48469.81,10013.44,55332.24,48634.46,37172.81
30/06/2024,52342.25,36157.5,25200.6,23420.3,56756.85,7365.95,19731.55,9814.3,1104.75,10685.5,19529.65,9977.13,71523.45,13579.25,13.8025,15711.15,25007.25,24010.6,5460.48,35539.16,6806.75,11131.6,24010.6,26075.5,9133.95,56314.8,30428.05,1992.35,30362.4,9266.7,46939.87,9971.38,52130.41,46158.35,35633.91
31/05/2024,48983.95,32386.1,23419.6,21718.3,54107.35,7386,18796.3,9723.6,1019.4,10511.1,18007.5,9352.79,67527.65,12742.8,24.6025,14443.45,23518.05,22530.7,5277.51,33285.9,6587.9,10470.9,22530.7,24224.1,8668,53190.65,28178.35,1870.4,28550.8,8885.6,44094.81,9984.73,47263.66,42852.69,33344.28
30/04/2024,49396.75,33200.95,22479.9,21841.15,54240.6,7605.6,18970.6,9175.8,973.25,9993.35,17839.95,9387.51,64900.5,12673.15,12.87,14161.9,23436.5,22604.85,5035.69,33276.41,6253.95,10405.35,22604.85,24535.95,8575.25,50494.7,28503.4,1892.8,27071.4,8797.5,41781.57,10222.11,47315.93,42121.4,33142.57
31/03/2024,47124.6,34898.15,21419.1,20989.1,53949.2,7007.25,18996.15,8257.2,900.65,9122.15,16549.9,9275.83,60624.3,12329.75,12.8325,13526.5,22920.7,22326.9,5254.35,32867.23,5759.35,10128.4,22326.9,23555.85,8336,47200.3,27843.65,1795.85,25873.65,8331.65,39927.91,9417.93,43166.34,39322.12,32043.2
29/02/2024,46120.9,37720.4,20412.4,20407.9,54015.6,6929.85,19003.15,7921.9,910.55,9138.85,16845.15,9186.42,58991.35,12160.45,15.5725,13745.85,22526.3,21982.8,5096.27,32360.25,5776.15,9806.15,21982.8,23104.7,8085.75,46491.55,27683.95,2049.95,25090.65,8140.7,38716.47,9313.91,45225.1,39346.98,31777.02
31/01/2024,45996.8,36638.4,19227.15,20497.5,55071.4,6271.65,17938.65,7973.1,856.2,8670.25,16917.35,9065.06,55299.25,11953.8,16.0475,13620.6,22051.55,21725.7,4845.65,31939.59,5410.4,9627.95,21725.7,23594.45,7859.9,47075.2,27385.7,2151,24306.35,7973.1,37468.99,8429.26,45722.58,38774.5,31303.35
