Month,Main_Category,Sub_Category,Scheme_Type,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio,Upload_Date
29-02-2020,Interval Schemes,Interval Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
29-02-2020,Interval Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
29-02-2020,Interval Schemes,Interval Schemes,Income/Debt Oriented Schemes,23.00,"3,938.00",9.01,"1,692.77","-1,683.76",432.59,"1,040.45",,,19-04-2024
29-02-2020,Close ended Schemes,Growth/Equity Oriented Schemes,Other Schemes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,19-04-2024
29-02-2020,Close ended Schemes,Growth/Equity Oriented Schemes,Others,90.00,"12,43,396.00",0.00,"1,642.18","-1,642.18","27,614.35","29,306.00",,,19-04-2024
29-02-2020,Close ended Schemes,Growth/Equity Oriented Schemes,ELSS,25.00,"4,71,720.00",0.00,310.38,"-,310.38","4,156.62","4,399.15",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Other Debt,33.00,"83,390.00",0.00,"2,605.93","-2,605.93","3,507.80","3,674.85",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Capital Protection Oriented  Schemes,30.00,"1,17,903.00",443.29,"2,296.69","-1,853.41","4,646.64","4,730.03",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Fixed Term Plan,739.00,"8,52,511.00","3,342.61","32,570.27","-,29,227.65","1,40,310.25","1,40,166.72",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,Fund of funds investing overseas,27.00,"1,74,580.00","1,092.85",419.19,673.66,"2,724.11","2,911.16",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,Other ETFs,76.00,"17,66,536.00","1,09,468.07","54,493.55","54,974.52","1,80,707.28","1,87,103.85",,,19-04-2024
29-02-2020,Close ended Schemes,Income/Debt Oriented Schemes,Infrastructure Debt Fund ,9.00,89.00,0.00,314.72,"-,314.72","2,404.36","2,400.79",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Conservative Hybrid Fund,22.00,"3,90,996.00","1,102.65","4,426.11","-3,323.46","12,433.39","12,695.98",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,Index Funds,32.00,"4,76,834.00","5,716.93","2,776.77","2,940.16","7,930.48","8,210.10",,,19-04-2024
29-02-2020,Open ended Schemes,Solution Oriented  Schemes,Childrens' Fund,9.00,"28,92,287.00",795.93,419.52,376.41,"8,552.34","8,815.53",,,19-04-2024
29-02-2020,Open ended Schemes,Solution Oriented  Schemes,Retirement Fund,24.00,"25,44,162.00","2,989.62",980.96,"2,008.66","10,088.25","10,447.28",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Equity Savings Fund,23.00,"3,34,284.00","2,353.85","8,562.22","-6,208.37","13,436.22","14,172.68",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Arbitrage Fund,25.00,"3,02,989.00","79,931.68","44,481.45","35,450.23","85,360.40","87,044.79",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Multi Asset Allocation,7.00,"6,13,535.00","3,691.82","3,213.70",478.12,"10,852.82","13,298.69",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Dynamic Asset Allocation/Balanced Advantage,22.00,"26,22,231.00","27,056.04","20,723.11","6,332.93","93,916.05","98,466.89",,,19-04-2024
29-02-2020,Open ended Schemes,Hybrid Schemes,Balanced Hybrid Fund/Aggressive Hybrid Fund,33.00,"52,80,352.00","25,136.84","45,173.17","-,20,036.32","1,26,575.14","1,33,850.25",,,19-04-2024
29-02-2020,Open ended Schemes,Other Schemes,GOLD ETFs,11.00,"4,92,753.00","2,271.29",462.74,"1,808.55","7,926.12","6,478.37",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Sectoral/Thematic Funds,100.00,"65,07,979.00","18,283.72","14,808.57","3,475.15","63,912.71","66,884.11",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,ELSS,43.00,"1,21,84,832.00","15,241.21","8,605.25","6,635.97","96,565.34","1,01,973.80",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Dividend Yield Fund,6.00,"4,72,109.00",344.44,693.02,"-,348.58","4,114.54","4,387.33",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Focused Fund,22.00,"34,79,625.00","20,283.04","9,442.53","10,840.51","49,312.62","51,167.78",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Small Cap Fund,23.00,"51,03,771.00","19,767.07","9,498.59","10,268.48","50,967.14","52,601.52",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Mid Cap Fund,26.00,"64,19,805.00","26,730.64","14,446.36","12,284.28","89,022.80","92,246.15",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Large & Mid Cap Fund,27.00,"46,90,989.00","15,771.09","11,338.17","4,432.92","56,764.12","59,415.03",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Large Cap Fund,30.00,"98,31,790.00","43,079.04","29,136.25","13,942.79","1,46,316.78","1,54,834.68",,,19-04-2024
29-02-2020,Open ended Schemes,Growth/Equity Oriented Schemes,Multi Cap Fund,35.00,"91,44,004.00","39,880.04","26,588.37","13,291.67","1,48,861.97","1,56,974.12",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Floater Fund,7.00,"1,66,681.00","33,918.06","27,530.21","6,387.85","38,179.73","37,498.83",,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund with 10 year constant duration,4.00,"32,680.00",650.53,391.78,258.75,852.50,815.39,,,19-04-2024
29-02-2020,Open ended Schemes,Income/Debt Oriented Schemes,Gilt Fund,21.00,"1,04,727.00","4,479.20","4,516.89",-37.70,"8,465.94","8,491.23",,,19-04-2024
