Month,No_scheme,No_Folios,Net_Inflow,Net_Inflow_YTD,Net_AUM,Average_AUM
29-02-2020,"1,917.00","8,88,36,161.00",,"3,00,037.98","27,22,937.39","28,28,638.31"
31-03-2020,"1,916.00","8,97,46,051.00","-2,12,737.16","87,300.83","22,26,202.87","24,70,882.19"
31-08-2021,"1,488.00","10,85,53,262.00","1,29,555.40","2,16,856.23","36,59,445.05","36,09,470.73"
19-09-2021,"1,462.00","11,16,69,776.00","-47,257.24","1,69,598.99","36,73,893.17","37,40,791.25"
31-10-2021,"1,456.00","11,43,80,871.00","38,275.04","2,07,874.02","37,33,203.76","38,21,816.02"
30-11-2021,"1,452.00","11,69,91,489.00","46,165.19","2,54,039.21","37,33,701.83","38,45,377.62"
31-12-2021,"1,451.00","12,02,06,576.00","-4,211.79","2,49,827.42","37,72,696.32","37,91,810.92"
31-01-2022,"1,461.00","12,31,01,673.00","35,251.73","2,85,079.14","38,01,209.63","38,88,570.77"
31-03-2022,"1,495.00","12,95,04,652.00","-38,349.59","2,46,729.55","37,56,682.59","37,70,295.84"
30-04-2022,"1,379.00","13,12,94,541.00","72,846.60","72,846.60","38,03,683.19","38,88,960.07"
31-05-2022,"1,307.00","13,33,48,714.00","-7,532.36","65,314.24","37,22,010.06","37,37,087.30"
19-06-2022,"1,281.00","13,46,61,818.00","-69,852.14","-4,537.89","35,64,090.02","36,98,326.64"
31-07-2022,"1,280.00","13,55,73,653.00","23,604.17","19,066.28","37,74,802.79","37,76,910.97"
31-08-2022,"1,309.00","13,64,74,818.00","65,077.50","84,143.77","39,33,877.66","39,53,423.12"
30-09-2022,"1,316.00","13,80,87,328.00","-41,404.37","42,739.40","38,42,350.73","39,87,990.37"
31-10-2022,"1,341.00","13,90,77,745.00","14,047.05","56,786.45","39,50,323.12","39,53,208.79"
30-11-2022,"1,347.00","13,97,55,150.00","13,263.57","70,050.02","40,37,560.81","40,49,440.08"
31-12-2022,"1,375.00","14,11,19,590.00","4,491.24","74,541.26","39,88,735.38","40,76,170.52"
31-01-2023,"1,390.00","14,28,43,642.00","11,373.32","85,914.58","39,62,405.59","40,80,310.60"
28-02-2023,"1,416.00","14,42,50,756.00","9,575.34","95,489.92","39,46,256.94","40,68,800.25"
31-03-2023,"1,455.00","14,57,30,600.00","-19,264.50","76,225.42","39,42,030.68","40,04,637.67"
30-04-2023,"1,452.00","14,64,16,057.00","1,21,434.84","1,21,434.84","41,61,821.65","41,52,715.39"
31-05-2023,"1,441.00","14,73,75,502.00","57,420.42","1,78,855.26","43,20,468.38","42,94,787.69"
30-06-2023,"1,437.00","14,91,31,708.00","-2,022.34","1,76,832.92","44,39,187.21","44,82,313.60"
31-07-2023,"1,436.00","15,14,21,270.00","82,046.02","2,58,878.93","46,37,564.67","46,27,687.34"
31-08-2023,"1,445.00","15,42,41,577.00","14,385.93","2,73,264.86","46,63,480.14","46,93,647.93"
30-09-2023,"1,451.00","15,70,96,187.00","-66,191.48","2,07,073.39","46,57,755.20","47,79,015.30"
31-10-2023,"1,461.00","15,96,46,790.00","80,528.39","2,87,601.78","46,71,687.90","47,80,422.43"
30-11-2023,"1,472.00","16,18,14,583.00","25,615.63","3,13,217.41","49,04,992.48","48,74,812.66"
31-12-2023,"1,492.00","16,48,90,272.00","-40,685.08","2,72,532.34","50,77,900.31","51,09,071.69"
31-01-2024,"1,509.00","16,95,59,182.00","1,23,205.37","3,95,737.70","52,74,000.72","52,89,007.71"
29-02-2024,"1,529.00","17,41,95,535.00","1,18,350.72","5,14,088.43","54,54,214.18","54,52,487.00"
31-03-2024,"1,541.00","17,78,56,760.00","-1,59,387.10","3,54,701.32","53,40,194.67","55,00,727.54"
30-04-2024,"1,545.00","18,14,68,286.00","2,39,232.80","2,39,232.80","57,25,898.02","57,01,358.91"
31-05-2024,"1,552.00","18,59,68,222.00","1,10,517.01","3,49,749.81","58,91,160.52","58,59,951.43"
30-06-2024,"1,566.00","19,10,47,118.00","-43,636.59","3,06,113.22","61,15,581.89","61,33,226.78"
31-07-2024,"1,581.00","19,84,06,294.00","1,89,043.75","4,95,156.96","64,96,653.07","64,70,664.36"
