Month,Sub_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
29-02-2020,Growth/Equity Oriented Schemes,445.00,"6,36,98,381.00","2,10,074.48","1,39,962.81","70,111.67","7,88,808.74","8,29,200.58",0.00,0.00
29-02-2020,Hybrid Schemes,132.00,"95,44,387.00","1,39,272.90","1,26,579.76","12,693.14","3,42,574.02","3,59,529.29",0.00,0.00
29-02-2020,Income/Debt Oriented Schemes,"1,138.00","72,42,303.00","1,70,29,631.14","1,68,73,496.17","1,56,134.97","13,73,193.47","14,14,901.70",0.00,0.00
29-02-2020,Interval Schemes,23.00,"3,938.00",9.01,"1,692.77","-1,683.76",432.59,"1,040.45",0.00,0.00
29-02-2020,Other Schemes,146.00,"29,10,703.00","1,18,549.14","58,152.25","60,396.89","1,99,287.99","2,04,703.48",0.00,0.00
29-02-2020,Solution Oriented  Schemes,33.00,"54,36,449.00","3,785.55","1,400.48","2,385.08","18,640.59","19,262.81",0.00,0.00
31-03-2020,Growth/Equity Oriented Schemes,435.00,"6,43,94,041.00","2,40,183.63","1,58,587.10","81,596.53","6,02,961.58","6,77,518.37",0.00,0.00
31-03-2020,Hybrid Schemes,134.00,"95,72,715.00","1,50,980.09","1,74,746.54","-,23,766.45","2,62,149.87","3,03,356.52",0.00,0.00
31-03-2020,Income/Debt Oriented Schemes,"1,144.00","71,78,256.00","1,82,83,140.43","1,83,21,728.30","-,38,587.88","11,79,764.44","12,98,144.09",0.00,0.00
31-03-2020,Interval Schemes,23.00,"3,888.00",9.05,"1,714.76","-1,705.71",392.65,413.26,0.00,0.00
31-03-2020,Other Schemes,147.00,"31,60,311.00","1,35,137.16","67,826.97","67,310.18","1,65,235.09","1,74,705.41",0.00,0.00
31-03-2020,Solution Oriented  Schemes,33.00,"54,36,840.00","4,007.42","1,553.28","2,454.15","15,699.24","16,744.54",0.00,0.00
31-08-2021,Growth/Equity Oriented Schemes,417.00,"7,37,19,055.00","1,50,391.47","1,05,964.60","44,426.87","12,49,116.59","12,07,546.41",0.00,0.00
31-08-2021,Hybrid Schemes,139.00,"1,02,76,399.00","1,25,700.95","60,293.99","65,406.96","4,38,114.39","4,33,340.34",6.00,79.72
31-08-2021,Income/Debt Oriented Schemes,675.00,"80,15,823.00","31,80,409.33","31,15,648.05","64,761.28","15,31,745.40","15,46,909.51",20.00,726.63
31-08-2021,Interval Schemes,21.00,"3,294.00",0.20,6.88,-6.68,117.63,146.49,0.00,0.00
31-08-2021,Other Schemes,201.00,"1,10,14,573.00","68,112.72","26,174.69","41,938.03","4,12,133.90","3,93,936.20",0.00,0.00
31-08-2021,Solution Oriented  Schemes,35.00,"55,24,118.00","1,275.53",945.77,329.76,"28,217.14","27,591.77",0.00,0.00
19-09-2021,Growth/Equity Oriented Schemes,415.00,"7,56,30,938.00","1,87,048.14","1,36,164.81","50,883.33","12,92,934.36","12,81,179.76",0.00,0.00
19-09-2021,Hybrid Schemes,138.00,"1,04,75,570.00","1,48,042.15","79,047.55","68,994.60","4,50,165.07","4,62,074.39",6.00,80.12
19-09-2021,Income/Debt Oriented Schemes,648.00,"79,96,570.00","38,88,425.67","38,92,658.30","-4,232.63","14,67,508.84","15,42,359.94",20.00,757.95
19-09-2021,Interval Schemes,21.00,"3,218.00",0.28,15.75,-15.48,109.87,144.38,0.00,0.00
19-09-2021,Other Schemes,205.00,"1,20,33,892.00","85,208.18","31,649.88","53,558.29","4,34,224.85","4,26,271.06",0.00,0.00
19-09-2021,Solution Oriented  Schemes,35.00,"55,29,588.00","1,565.95","1,155.08",410.88,"28,950.18","28,761.72",0.00,0.00
31-10-2021,Growth/Equity Oriented Schemes,413.00,"7,71,30,986.00","2,15,719.51","1,59,757.12","55,962.39","13,09,729.98","13,26,388.66",0.00,0.00
31-10-2021,Hybrid Schemes,139.00,"1,07,28,698.00","1,74,739.70","95,307.96","79,431.74","4,62,611.35","4,76,224.16",6.00,80.50
31-10-2021,Income/Debt Oriented Schemes,634.00,"79,29,541.00","45,66,879.12","45,59,209.60","7,669.51","14,82,320.86","15,41,245.78",20.00,732.32
31-10-2021,Interval Schemes,21.00,"3,193.00",0.29,16.71,-16.43,109.17,137.72,0.00,0.00
31-10-2021,Other Schemes,214.00,"1,30,52,680.00","1,02,122.12","37,804.98","64,317.14","4,49,185.78","4,48,369.43",0.00,0.00
