Month,Main_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
29-02-2020,Close ended Schemes,926.00,"27,69,009.00","3,785.90","39,740.17","-,35,954.27","1,82,640.02","1,84,677.53",0.00,0.00
29-02-2020,Interval Schemes,23.00,"3,938.00",9.01,"1,692.77","-1,683.76",432.59,"1,040.45",0.00,0.00
29-02-2020,Open ended Schemes,968.00,"8,60,63,214.00","1,74,97,527.31","1,71,59,851.29","3,37,676.02","25,39,864.79","26,42,920.33",0.00,0.00
31-03-2020,Close ended Schemes,926.00,"27,44,045.00","4,503.00","40,503.32","-,36,000.31","1,75,076.61","1,77,605.19",0.00,0.00
31-03-2020,Interval Schemes,23.00,"3,888.00",9.05,"1,714.76","-1,705.71",392.65,413.26,0.00,0.00
31-03-2020,Open ended Schemes,967.00,"8,69,98,118.00","1,88,08,945.72","1,86,83,938.87","1,25,006.85","20,50,733.61","22,92,863.75",0.00,0.00
31-08-2021,Close ended Schemes,413.00,"10,05,442.00","1,980.87","78,277.74","-,76,296.87","73,028.53","76,857.72",0.00,0.00
31-08-2021,Interval Schemes,21.00,"3,294.00",0.20,6.88,-6.68,117.63,146.49,0.00,0.00
31-08-2021,Open ended Schemes,"1,054.00","10,75,44,526.00","35,23,909.14","32,30,749.36","2,93,159.78","35,86,298.89","35,32,466.52",26.00,806.35
19-09-2021,Close ended Schemes,379.00,"8,16,071.00","2,474.26","86,075.83","-,83,601.57","65,379.39","70,766.27",0.00,0.00
19-09-2021,Interval Schemes,21.00,"3,218.00",0.28,15.75,-15.48,109.87,144.38,0.00,0.00
19-09-2021,Open ended Schemes,"1,062.00","11,08,50,487.00","43,07,815.82","40,54,599.79","2,53,216.03","36,08,403.90","36,69,880.60",26.00,838.07
31-10-2021,Close ended Schemes,363.00,"8,01,951.00","2,724.95","87,544.40","-,84,819.46","64,161.37","65,165.04",0.00,0.00
31-10-2021,Interval Schemes,21.00,"3,193.00",0.29,16.71,-16.43,109.17,137.72,0.00,0.00
31-10-2021,Open ended Schemes,"1,072.00","11,35,75,727.00","50,58,598.47","47,65,888.57","2,92,709.91","36,68,933.22","37,56,513.26",26.00,812.82
30-11-2021,Close ended Schemes,353.00,"7,23,831.00","3,521.94","89,262.39","-,85,740.45","61,602.79","62,064.02",0.00,0.00
30-11-2021,Interval Schemes,21.00,"3,113.00",0.33,25.27,-24.94,122.22,135.63,0.00,0.00
30-11-2021,Open ended Schemes,"1,078.00","11,62,64,545.00","58,61,051.06","55,21,246.45","3,39,804.60","36,71,976.82","37,83,177.98",26.00,814.00
31-12-2021,Close ended Schemes,350.00,"7,08,668.00","3,971.61","89,618.83","-,85,647.22","61,748.77","61,846.92",0.00,0.00
31-12-2021,Interval Schemes,21.00,"3,113.00",231.89,26.72,205.17,330.12,315.29,0.00,0.00
31-12-2021,Open ended Schemes,"1,080.00","11,94,94,795.00","67,75,302.70","64,40,033.22","3,35,269.47","37,10,617.43","37,29,648.70",26.00,815.85
31-01-2022,Close ended Schemes,349.00,"6,73,840.00","4,198.71","89,954.24","-,85,755.54","60,781.53","61,889.36",0.00,0.00
31-01-2022,Interval Schemes,21.00,"3,099.00",368.41,27.33,341.09,470.48,482.13,0.00,0.00
31-01-2022,Open ended Schemes,"1,091.00","12,24,24,734.00","75,63,110.90","71,92,617.33","3,70,493.59","37,39,957.61","38,26,199.27",24.00,667.87
31-03-2022,Close ended Schemes,354.00,"6,47,833.00","5,765.92","90,792.33","-,85,026.41","60,336.17","60,539.82",0.00,0.00
31-03-2022,Interval Schemes,21.00,"3,050.00",557.43,170.98,386.45,546.54,552.56,0.00,0.00
31-03-2022,Open ended Schemes,"1,120.00","12,88,53,769.00","93,11,181.21","89,79,811.68","3,31,369.51","36,95,799.88","37,09,203.45",15.00,281.77
30-04-2022,Close ended Schemes,235.00,"5,72,086.00",0.00,"20,900.73","-,20,900.73","39,281.03","50,071.34",0.00,0.00
30-04-2022,Interval Schemes,21.00,"3,000.00",0.00,139.33,"-,139.33",408.62,424.50,0.00,0.00
30-04-2022,Open ended Schemes,"1,123.00","13,07,19,455.00","8,17,044.23","7,23,157.57","93,886.66","37,63,993.55","38,38,464.23",15.00,281.81
31-05-2022,Close ended Schemes,172.00,"5,02,135.00",0.00,"32,334.96","-,32,334.96","27,130.23","33,965.18",0.00,0.00
31-05-2022,Interval Schemes,12.00,"2,990.00",659.51,216.43,443.07,991.17,565.82,0.00,0.00
31-05-2022,Open ended Schemes,"1,123.00","13,28,43,589.00","16,58,160.31","15,60,954.21","97,206.13","36,93,888.66","37,02,556.30",15.00,281.91
19-06-2022,Close ended Schemes,146.00,"4,84,178.00",0.00,"36,337.34","-,36,337.34","22,989.81","24,882.41",0.00,0.00
19-06-2022,Interval Schemes,12.00,"2,979.00",759.02,384.22,374.80,928.73,940.96,0.00,0.00
19-06-2022,Open ended Schemes,"1,123.00","13,41,74,661.00","25,83,743.55","25,52,318.88","31,424.65","35,40,171.47","36,72,503.26",15.00,281.98
31-07-2022,Close ended Schemes,145.00,"4,93,941.00","1,430.03","37,184.17","-,35,754.14","24,286.10","23,210.92",0.00,0.00
31-07-2022,Interval Schemes,12.00,"2,964.00",816.03,482.99,333.04,890.51,933.89,0.00,0.00
31-07-2022,Open ended Schemes,"1,123.00","13,50,76,748.00","34,12,822.79","33,58,335.40","54,487.38","37,49,626.18","37,52,766.16",15.00,282.08
31-08-2022,Close ended Schemes,141.00,"5,02,352.00","3,722.92","38,176.48","-,34,453.55","26,005.13","24,514.27",0.00,0.00
31-08-2022,Interval Schemes,12.00,"2,952.00","1,085.86",819.42,266.43,818.95,825.46,0.00,0.00
31-08-2022,Open ended Schemes,"1,156.00","13,59,69,514.00","43,05,978.32","41,87,647.43","1,18,330.89","39,07,053.58","39,28,083.39",15.00,282.19
30-09-2022,Close ended Schemes,134.00,"4,97,606.00","4,839.71","40,426.66","-,35,586.95","24,774.69","26,136.56",0.00,0.00
30-09-2022,Interval Schemes,12.00,"2,902.00","1,088.87",969.40,119.47,675.39,712.11,0.00,0.00
30-09-2022,Open ended Schemes,"1,170.00","13,75,86,820.00","52,82,836.66","52,04,629.77","78,206.89","38,16,900.64","39,61,141.69",12.00,35.14
31-10-2022,Close ended Schemes,131.00,"4,85,903.00","5,437.51","41,109.09","-,35,671.58","24,968.43","24,838.04",0.00,0.00
31-10-2022,Interval Schemes,12.00,"2,886.00","1,089.89","1,024.95",64.94,615.14,636.00,0.00,0.00
31-10-2022,Open ended Schemes,"1,198.00","13,85,88,956.00","60,63,512.98","59,71,119.92","92,393.10","39,24,739.55","39,27,734.76",12.00,35.14
30-11-2022,Close ended Schemes,136.00,"5,03,808.00","9,140.54","41,571.95","-,32,431.41","28,510.06","26,823.66",0.00,0.00
30-11-2022,Interval Schemes,12.00,"2,890.00","1,302.22","1,150.40",151.82,699.76,678.19,0.00,0.00
30-11-2022,Open ended Schemes,"1,199.00","13,92,48,452.00","69,00,863.94","67,98,534.32","1,02,329.61","40,08,350.99","40,21,938.24",12.00,35.14
31-12-2022,Close ended Schemes,143.00,"5,05,515.00","10,672.61","41,912.50","-,31,239.89","29,629.01","29,108.59",0.00,0.00
31-12-2022,Interval Schemes,12.00,"2,896.00","1,430.50","1,150.82",279.68,836.15,826.11,0.00,0.00
31-12-2022,Open ended Schemes,"1,220.00","14,06,11,179.00","78,14,834.91","77,09,333.29","1,05,501.47","39,58,270.22","40,46,235.81",12.00,35.14
31-01-2023,Close ended Schemes,146.00,"5,11,303.00","11,523.74","42,255.45","-,30,731.71","30,119.57","29,744.89",0.00,0.00
31-01-2023,Interval Schemes,12.00,"2,884.00","1,430.81","1,152.42",278.39,839.73,858.00,0.00,0.00
31-01-2023,Open ended Schemes,"1,232.00","14,23,29,455.00","86,81,548.00","85,65,180.07","1,16,367.90","39,31,446.30","40,49,707.70",12.00,35.14
28-02-2023,Close ended Schemes,151.00,"5,16,168.00","12,478.15","42,390.27","-,29,912.12","30,909.69","30,465.78",0.00,0.00
28-02-2023,Interval Schemes,12.00,"2,874.00","1,526.16","1,480.48",45.68,631.31,796.55,0.00,0.00
28-02-2023,Open ended Schemes,"1,253.00","14,37,31,714.00","94,77,683.32","93,52,326.92","1,25,356.36","39,14,715.94","40,37,537.92",12.00,35.14
31-03-2023,Close ended Schemes,165.00,"5,24,716.00","16,356.25","44,200.47","-,27,844.22","33,193.69","31,263.71",0.00,0.00
31-03-2023,Interval Schemes,12.00,"2,846.00","1,996.06","1,588.64",407.42,999.29,907.93,0.00,0.00
31-03-2023,Open ended Schemes,"1,278.00","14,52,03,038.00","1,04,89,004.76","1,03,85,342.52","1,03,662.23","39,07,837.69","39,72,466.03",12.00,35.14
30-04-2023,Close ended Schemes,155.00,"4,87,242.00",0.00,"2,177.98","-2,177.98","30,864.00","32,458.68",0.00,0.00
30-04-2023,Interval Schemes,12.00,"2,826.00",0.00,0.65,-0.65,"1,004.17","1,002.11",0.00,0.00
30-04-2023,Open ended Schemes,"1,285.00","14,59,25,989.00","8,25,334.10","7,01,720.64","1,23,613.47","41,29,953.47","41,19,254.61",12.00,35.14
31-05-2023,Close ended Schemes,140.00,"4,68,819.00",102.64,"4,466.70","-4,364.06","29,051.75","30,269.57",0.00,0.00
31-05-2023,Interval Schemes,12.00,"2,791.00",10.00,283.42,"-,273.42",734.93,910.48,0.00,0.00
31-05-2023,Open ended Schemes,"1,289.00","14,69,03,892.00","16,83,993.02","15,00,500.26","1,83,492.74","42,90,681.70","42,63,607.63",12.00,35.14
30-06-2023,Close ended Schemes,126.00,"4,39,475.00",102.64,"7,316.05","-7,213.41","25,941.83","27,367.38",0.00,0.00
30-06-2023,Interval Schemes,12.00,"2,734.00",11.01,753.31,"-,742.30",246.94,356.34,0.00,0.00
30-06-2023,Open ended Schemes,"1,299.00","14,86,89,499.00","26,30,139.44","24,45,350.78","1,84,788.63","44,12,998.44","44,54,589.88",12.00,35.14
31-07-2023,Close ended Schemes,120.00,"4,30,773.00",102.64,"7,735.25","-7,632.61","25,881.33","25,806.99",0.00,0.00
31-07-2023,Interval Schemes,12.00,"2,716.00",11.01,755.06,"-,744.05",246.59,269.88,0.00,0.00
31-07-2023,Open ended Schemes,"1,304.00","15,09,87,781.00","36,30,401.32","33,63,145.73","2,67,255.59","46,11,436.74","46,01,610.47",12.00,35.14
31-08-2023,Close ended Schemes,117.00,"6,29,127.00",405.83,"9,895.32","-9,489.49","29,609.21","31,025.68",0.00,0.00
31-08-2023,Interval Schemes,12.00,"2,699.00",106.97,788.73,"-,681.76",291.35,267.79,0.00,0.00
31-08-2023,Open ended Schemes,"1,316.00","15,36,09,751.00","45,90,574.70","43,07,138.59","2,83,436.11","46,33,579.58","46,62,354.45",12.00,35.14
30-09-2023,Close ended Schemes,112.00,"6,09,473.00",426.46,"12,192.59","-,11,766.13","27,508.69","28,173.82",0.00,0.00
30-09-2023,Interval Schemes,12.00,"2,627.00",106.99,821.09,"-,714.10",276.80,308.97,0.00,0.00
