Month,Parameter,FPO,IPO,Right,Equity_Public Issues,Upload_Date,rank
30-04-2019,Amount of Issue Size,,"3,082.02",,0.00,,1.00
30-04-2019,No of Issues,,6.00,,6.00,,1.00
31-05-2019,Amount of Issue Size,,244.76,"49,384.72",244.76,,1.00
31-05-2019,No of Issues,,7.00,5.00,12.00,,1.00
30-06-2019,Amount of Issue Size,11.74,30.86,9.97,52.57,,1.00
30-06-2019,No of Issues,1.00,1.00,1.00,3.00,,1.00
31-07-2019,Amount of Issue Size,,991.45,"1,485.00",991.45,,1.00
31-07-2019,No of Issues,,10.00,1.00,11.00,,1.00
31-08-2019,Amount of Issue Size,,"4,059.28",140.71,140.71,,1.00
31-08-2019,No of Issues,,3.00,3.00,6.00,,1.00
30-09-2019,Amount of Issue Size,,20.53,,20.53,,1.00
30-09-2019,No of Issues,,4.00,,4.00,,1.00
31-10-2019,Amount of Issue Size,,757.06,235.13,992.19,,1.00
31-10-2019,No of Issues,,8.00,2.00,10.00,,1.00
30-11-2019,Amount of Issue Size,,24.21,,24.21,,1.00
30-11-2019,No of Issues,,2.00,,2.00,,1.00
31-12-2019,Amount of Issue Size,,"1,672.75",,0.00,,1.00
31-12-2019,No of Issues,,5.00,,5.00,,1.00
31-01-2020,Amount of Issue Size,,28.80,,28.80,,1.00
31-01-2020,No of Issues,,5.00,,5.00,,1.00
29-02-2020,Amount of Issue Size,25.49,30.59,"3,430.16",56.08,,1.00
29-02-2020,No of Issues,1.00,5.00,1.00,7.00,,1.00
31-03-2020,Amount of Issue Size,,"10,354.66",373.78,373.78,,1.00
31-03-2020,No of Issues,,4.00,3.00,7.00,,1.00
30-04-2020,Amount of Issue Size,,16.32,,16.32,,1.00
30-04-2020,No of Issues,,4.00,,4.00,,1.00
30-06-2020,Amount of Issue Size,,2.46,"53,124.20",2.46,,1.00
30-06-2020,No of Issues,,1.00,1.00,2.00,,1.00
31-07-2020,Amount of Issue Size,"15,000.00",510.78,399.79,910.57,,1.00
31-07-2020,No of Issues,1.00,3.00,1.00,5.00,,1.00
31-08-2020,Amount of Issue Size,,11.45,"6,096.30",11.45,,1.00
31-08-2020,No of Issues,,2.00,7.00,9.00,,1.00
30-09-2020,Amount of Issue Size,,"1,308.90",362.69,362.69,,1.00
30-09-2020,No of Issues,,3.00,2.00,5.00,,1.00
31-10-2020,Amount of Issue Size,,"5,887.15",553.46,553.46,,1.00
31-10-2020,No of Issues,,14.00,3.00,17.00,,1.00
30-11-2020,Amount of Issue Size,,"6,998.74",71.30,71.30,,1.00
30-11-2020,No of Issues,,3.00,1.00,4.00,,1.00
31-12-2020,Amount of Issue Size,,"1,353.24",299.16,299.16,,1.00
31-12-2020,No of Issues,,3.00,1.00,4.00,,1.00
31-01-2021,Amount of Issue Size,,"4,933.37",81.25,81.25,,1.00
31-01-2021,No of Issues,,2.00,1.00,3.00,,1.00
28-02-2021,Amount of Issue Size,,"3,657.95","2,998.61",0.00,,1.00
28-02-2021,No of Issues,,6.00,1.00,7.00,,1.00
31-03-2021,Amount of Issue Size,30.02,"6,381.45",71.85,101.87,,1.00
31-03-2021,No of Issues,1.00,16.00,3.00,20.00,,1.00
30-04-2021,Amount of Issue Size,,"3,031.98",279.64,279.64,,1.00
30-04-2021,No of Issues,,8.00,3.00,11.00,,1.00
31-05-2021,Amount of Issue Size,,1.12,25.00,26.12,,1.00
31-05-2021,No of Issues,,1.00,1.00,2.00,,1.00
30-06-2021,Amount of Issue Size,,"9,145.82",404.10,404.10,,1.00
30-06-2021,No of Issues,,8.00,2.00,10.00,,1.00
31-07-2021,Amount of Issue Size,,"13,998.25",54.12,54.12,,1.00
31-07-2021,No of Issues,,9.00,2.00,11.00,,1.00
31-08-2021,Amount of Issue Size,,"20,918.19",29.50,29.50,,1.00
31-08-2021,No of Issues,,15.00,1.00,16.00,,1.00
30-09-2021,Amount of Issue Size,,"3,942.96",24.96,24.96,,1.00
30-09-2021,No of Issues,,11.00,1.00,12.00,,1.00
31-10-2021,Amount of Issue Size,,"3,047.00",786.48,786.48,,1.00
31-10-2021,No of Issues,,13.00,5.00,18.00,,1.00
30-11-2021,Amount of Issue Size,,"36,305.12","21,054.98",0.00,,1.00
30-11-2021,No of Issues,,14.00,3.00,17.00,,1.00
31-12-2021,Amount of Issue Size,,"15,684.11","2,577.13",0.00,,1.00
31-12-2021,No of Issues,,21.00,10.00,31.00,,1.00
