Month,Parameter,Bay of Bengal,Central,Eastern,Northern,Southern,Western,Upload_Date,rank
30-04-2019,Amount of Issue Size,,,,"1,822.37",,"1,259.65",16-10-2024,1.00
31-05-2019,Amount of Issue Size,,,,"24,384.93",,"25,244.55",16-10-2024,1.00
30-06-2019,Amount of Issue Size,,,,30.86,,21.71,16-10-2024,1.00
31-07-2019,Amount of Issue Size,,,,488.71,,502.74,16-10-2024,1.00
31-08-2019,Amount of Issue Size,,,,19.79,"1,189.85","2,990.35",16-10-2024,1.00
30-09-2019,Amount of Issue Size,,,,,,20.53,16-10-2024,1.00
31-10-2019,Amount of Issue Size,,,,655.89,88.17,248.13,16-10-2024,1.00
30-11-2019,Amount of Issue Size,,,,,,24.21,16-10-2024,1.00
31-12-2019,Amount of Issue Size,,,,745.95,409.68,517.12,16-10-2024,1.00
31-01-2020,Amount of Issue Size,,,,6.22,7.23,15.35,16-10-2024,1.00
29-02-2020,Amount of Issue Size,,,,8.16,4.24,"3,473.85",16-10-2024,1.00
31-03-2020,Amount of Issue Size,,,,"10,356.13",,372.31,16-10-2024,1.00
30-04-2020,Amount of Issue Size,,,,,,16.32,16-10-2024,1.00
30-06-2020,Amount of Issue Size,,,,,,"53,126.66",16-10-2024,1.00
31-07-2020,Amount of Issue Size,,,,14.53,,"15,896.04",16-10-2024,1.00
31-08-2020,Amount of Issue Size,,,79.53,299.79,"1,517.06","4,211.37",16-10-2024,1.00
30-09-2020,Amount of Issue Size,,,,362.69,702.02,606.88,16-10-2024,1.00
31-10-2020,Amount of Issue Size,,,349.66,4.50,"2,303.31","3,783.14",16-10-2024,1.00
30-11-2020,Amount of Issue Size,,,,,"7,068.45",1.59,16-10-2024,1.00
31-12-2020,Amount of Issue Size,,,,540.54,,"1,111.86",16-10-2024,1.00
31-01-2021,Amount of Issue Size,,,,"4,633.38",81.25,299.99,16-10-2024,1.00
28-02-2021,Amount of Issue Size,,3.24,,819.24,412.63,"5,421.45",16-10-2024,1.00
31-03-2021,Amount of Issue Size,,,47.15,594.40,"1,998.70","3,246.66",16-10-2024,1.00
30-04-2021,Amount of Issue Size,,18.60,,51.50,537.67,"2,703.85",16-10-2024,1.00
31-05-2021,Amount of Issue Size,,,,25.00,1.12,,16-10-2024,1.00
30-06-2021,Amount of Issue Size,,,908.55,"5,599.10","3,022.97",19.30,16-10-2024,1.00
31-07-2021,Amount of Issue Size,,,,"11,024.12",,"3,028.25",16-10-2024,1.00
31-08-2021,Amount of Issue Size,,,,"2,645.57","6,659.55","11,642.57",16-10-2024,1.00
30-09-2021,Amount of Issue Size,,,,28.98,"3,190.87",748.07,16-10-2024,1.00
31-10-2021,Amount of Issue Size,,19.61,429.51,11.59,99.99,"3,272.78",16-10-2024,1.00
30-11-2021,Amount of Issue Size,,,"1,023.47","44,997.10","2,606.62","8,732.91",16-10-2024,1.00
31-12-2021,Amount of Issue Size,,,798.74,"2,491.21","8,605.20","6,366.08",16-10-2024,1.00
31-01-2022,Amount of Issue Size,,,2.26,62.77,52.10,696.96,16-10-2024,1.00
28-02-2022,Amount of Issue Size,,,"3,149.19",57.48,25.93,"3,711.23",16-10-2024,1.00
31-03-2022,Amount of Issue Size,,49.38,36.48,22.69,2.88,942.39,16-10-2024,1.00
30-04-2022,Amount of Issue Size,,11.07,60.00,136.78,341.54,"4,408.03",16-10-2024,1.00
31-05-2022,Amount of Issue Size,,,"1,501.73","7,036.86","1,636.17","22,060.54",16-10-2024,1.00
30-06-2022,Amount of Issue Size,,,16.21,,422.98,"1,029.65",16-10-2024,1.00
31-07-2022,Amount of Issue Size,9.99,6.19,1.90,4.50,57.99,210.18,16-10-2024,1.00
31-08-2022,Amount of Issue Size,,,5.25,33.59,,914.06,16-10-2024,1.00
30-09-2022,Amount of Issue Size,,,45.67,632.67,859.96,"1,173.73",16-10-2024,1.00
31-10-2022,Amount of Issue Size,43.42,11.71,29.02,134.77,881.90,369.77,16-10-2024,1.00
30-11-2022,Amount of Issue Size,,,,"3,319.76","4,808.43","3,605.95",16-10-2024,1.00
31-12-2022,Amount of Issue Size,,24.38,485.20,943.16,"1,533.97","2,238.90",16-10-2024,1.00
31-01-2023,Amount of Issue Size,,,16.94,49.76,574.19,451.34,16-10-2024,1.00
28-02-2023,Amount of Issue Size,,12.96,13.01,155.00,186.62,202.43,16-10-2024,1.00
31-03-2023,Amount of Issue Size,,64.30,14.78,15.95,76.69,"2,893.34",16-10-2024,1.00
30-04-2023,Amount of Issue Size,,,,32.56,952.11,996.62,16-10-2024,1.00
31-05-2023,Amount of Issue Size,,,27.07,"6,901.37",100.10,245.01,16-10-2024,1.00
30-06-2023,Amount of Issue Size,50.34,,57.21,884.18,62.34,508.37,16-10-2024,1.00
31-07-2023,Amount of Issue Size,,44.42,431.94,"2,732.69",708.18,"1,449.74",16-10-2024,1.00
31-08-2023,Amount of Issue Size,,11.58,,787.98,"1,037.45","4,629.66",16-10-2024,1.00
30-09-2023,Amount of Issue Size,,,,"2,472.12","2,072.13","5,003.59",16-10-2024,1.00
31-10-2023,Amount of Issue Size,270.20,,25.07,172.54,"1,127.72","3,962.59",16-10-2024,1.00
30-11-2023,Amount of Issue Size,,39.96,32.88,"4,873.58",584.68,"8,012.12",16-10-2024,1.00
31-12-2023,Amount of Issue Size,,,34.80,"2,278.03",820.22,"6,397.98",16-10-2024,1.00
31-01-2024,Amount of Issue Size,,,9.60,"1,449.86","1,437.49","1,355.35",16-10-2024,1.00
29-02-2024,Amount of Issue Size,,"4,122.17","1,499.09","5,991.38",617.20,"3,213.67",16-10-2024,1.00
31-03-2024,Amount of Issue Size,,42.69,291.40,572.98,"1,350.20","1,933.39",16-10-2024,1.00
30-04-2024,Amount of Issue Size,,,,"4,630.68","1,198.38","19,547.80",16-10-2024,1.00
30-04-2019,No of Issues,,,,2.00,,4.00,16-10-2024,1.00
31-05-2019,No of Issues,,,,4.00,,8.00,16-10-2024,1.00
30-06-2019,No of Issues,,,,1.00,,2.00,16-10-2024,1.00
31-07-2019,No of Issues,,,,3.00,,7.00,16-10-2024,1.00
31-08-2019,No of Issues,,,,1.00,1.00,4.00,16-10-2024,1.00
30-09-2019,No of Issues,,,,,,4.00,16-10-2024,1.00
31-10-2019,No of Issues,,,,2.00,2.00,6.00,16-10-2024,1.00
30-11-2019,No of Issues,,,,,,2.00,16-10-2024,1.00
31-12-2019,No of Issues,,,,1.00,1.00,3.00,16-10-2024,1.00
31-01-2020,No of Issues,,,,2.00,1.00,2.00,16-10-2024,1.00
29-02-2020,No of Issues,,,,2.00,1.00,4.00,16-10-2024,1.00
31-03-2020,No of Issues,,,,2.00,,5.00,16-10-2024,1.00
30-04-2020,No of Issues,,,,,,4.00,16-10-2024,1.00
30-06-2020,No of Issues,,,,,,2.00,16-10-2024,1.00
31-07-2020,No of Issues,,,,2.00,,3.00,16-10-2024,1.00
31-08-2020,No of Issues,,,1.00,1.00,2.00,5.00,16-10-2024,1.00
30-09-2020,No of Issues,,,,2.00,1.00,2.00,16-10-2024,1.00
31-10-2020,No of Issues,,,1.00,1.00,2.00,13.00,16-10-2024,1.00
30-11-2020,No of Issues,,,,,3.00,1.00,16-10-2024,1.00
31-12-2020,No of Issues,,,,1.00,,3.00,16-10-2024,1.00
31-01-2021,No of Issues,,,,1.00,1.00,1.00,16-10-2024,1.00
28-02-2021,No of Issues,,1.00,,1.00,1.00,4.00,16-10-2024,1.00
31-03-2021,No of Issues,,,2.00,4.00,2.00,11.00,16-10-2024,1.00
30-04-2021,No of Issues,,1.00,,3.00,4.00,3.00,16-10-2024,1.00
31-05-2021,No of Issues,,,,1.00,1.00,,16-10-2024,1.00
30-06-2021,No of Issues,,,1.00,2.00,4.00,3.00,16-10-2024,1.00
31-07-2021,No of Issues,,,,4.00,,7.00,16-10-2024,1.00
31-08-2021,No of Issues,,,,4.00,3.00,9.00,16-10-2024,1.00
30-09-2021,No of Issues,,,,2.00,3.00,7.00,16-10-2024,1.00
31-10-2021,No of Issues,,1.00,3.00,3.00,1.00,10.00,16-10-2024,1.00
30-11-2021,No of Issues,,,1.00,3.00,6.00,7.00,16-10-2024,1.00
31-12-2021,No of Issues,,,3.00,10.00,4.00,14.00,16-10-2024,1.00
31-01-2022,No of Issues,,,1.00,3.00,4.00,3.00,16-10-2024,1.00
