Month,Parameter,Private,Public,Upload_Date,rank
30-04-2019,Amount of Issue Size,"2,604.91",477.11,22-07-2024,1.00
30-04-2019,No of Issues,5.00,1.00,22-07-2024,1.00
31-05-2019,Amount of Issue Size,"49,629.48",,22-07-2024,1.00
31-05-2019,No of Issues,12.00,,22-07-2024,1.00
30-06-2019,Amount of Issue Size,52.58,,22-07-2024,1.00
30-06-2019,No of Issues,3.00,,22-07-2024,1.00
31-07-2019,Amount of Issue Size,"2,476.45",,22-07-2024,1.00
31-07-2019,No of Issues,11.00,,22-07-2024,1.00
31-08-2019,Amount of Issue Size,"4,199.99",,22-07-2024,1.00
31-08-2019,No of Issues,6.00,,22-07-2024,1.00
30-09-2019,Amount of Issue Size,20.53,,22-07-2024,1.00
30-09-2019,No of Issues,4.00,,22-07-2024,1.00
31-10-2019,Amount of Issue Size,354.23,637.96,22-07-2024,1.00
31-10-2019,No of Issues,9.00,1.00,22-07-2024,1.00
30-11-2019,Amount of Issue Size,24.21,,22-07-2024,1.00
30-11-2019,No of Issues,2.00,,22-07-2024,1.00
31-12-2019,Amount of Issue Size,"1,672.75",,22-07-2024,1.00
31-12-2019,No of Issues,5.00,,22-07-2024,1.00
31-01-2020,Amount of Issue Size,28.80,,22-07-2024,1.00
31-01-2020,No of Issues,5.00,,22-07-2024,1.00
29-02-2020,Amount of Issue Size,"3,486.25",,22-07-2024,1.00
29-02-2020,No of Issues,7.00,,22-07-2024,1.00
31-03-2020,Amount of Issue Size,"10,728.44",,22-07-2024,1.00
31-03-2020,No of Issues,7.00,,22-07-2024,1.00
30-04-2020,Amount of Issue Size,16.32,,22-07-2024,1.00
30-04-2020,No of Issues,4.00,,22-07-2024,1.00
30-06-2020,Amount of Issue Size,"53,126.66",,22-07-2024,1.00
30-06-2020,No of Issues,2.00,,22-07-2024,1.00
31-07-2020,Amount of Issue Size,"15,910.57",,22-07-2024,1.00
31-07-2020,No of Issues,5.00,,22-07-2024,1.00
31-08-2020,Amount of Issue Size,"6,107.75",,22-07-2024,1.00
31-08-2020,No of Issues,9.00,,22-07-2024,1.00
30-09-2020,Amount of Issue Size,"1,671.59",,22-07-2024,1.00
30-09-2020,No of Issues,5.00,,22-07-2024,1.00
31-10-2020,Amount of Issue Size,"5,996.92",443.69,22-07-2024,1.00
31-10-2020,No of Issues,16.00,1.00,22-07-2024,1.00
30-11-2020,Amount of Issue Size,"7,070.04",,22-07-2024,1.00
30-11-2020,No of Issues,4.00,,22-07-2024,1.00
31-12-2020,Amount of Issue Size,"1,652.40",,22-07-2024,1.00
31-12-2020,No of Issues,4.00,,22-07-2024,1.00
31-01-2021,Amount of Issue Size,381.24,"4,633.38",22-07-2024,1.00
31-01-2021,No of Issues,2.00,1.00,22-07-2024,1.00
28-02-2021,Amount of Issue Size,"5,837.32",819.24,22-07-2024,1.00
28-02-2021,No of Issues,6.00,1.00,22-07-2024,1.00
31-03-2021,Amount of Issue Size,"6,483.32",,22-07-2024,1.00
31-03-2021,No of Issues,20.00,,22-07-2024,1.00
30-04-2021,Amount of Issue Size,"3,311.62",,22-07-2024,1.00
30-04-2021,No of Issues,11.00,,22-07-2024,1.00
31-05-2021,Amount of Issue Size,26.12,,22-07-2024,1.00
31-05-2021,No of Issues,2.00,,22-07-2024,1.00
30-06-2021,Amount of Issue Size,"9,549.92",,22-07-2024,1.00
30-06-2021,No of Issues,10.00,,22-07-2024,1.00
31-07-2021,Amount of Issue Size,"14,052.37",,22-07-2024,1.00
31-07-2021,No of Issues,11.00,,22-07-2024,1.00
31-08-2021,Amount of Issue Size,"20,947.69",,22-07-2024,1.00
31-08-2021,No of Issues,16.00,,22-07-2024,1.00
30-09-2021,Amount of Issue Size,"3,967.92",,22-07-2024,1.00
30-09-2021,No of Issues,12.00,,22-07-2024,1.00
31-10-2021,Amount of Issue Size,"3,833.48",,22-07-2024,1.00
31-10-2021,No of Issues,18.00,,22-07-2024,1.00
30-11-2021,Amount of Issue Size,"57,360.10",,22-07-2024,1.00
30-11-2021,No of Issues,17.00,,22-07-2024,1.00
31-12-2021,Amount of Issue Size,"18,261.24",,22-07-2024,1.00
31-12-2021,No of Issues,31.00,,22-07-2024,1.00
31-01-2022,Amount of Issue Size,814.09,,22-07-2024,1.00
31-01-2022,No of Issues,11.00,,22-07-2024,1.00
28-02-2022,Amount of Issue Size,"6,943.83",,22-07-2024,1.00
28-02-2022,No of Issues,13.00,,22-07-2024,1.00
31-03-2022,Amount of Issue Size,"1,053.82",,22-07-2024,1.00
31-03-2022,No of Issues,16.00,,22-07-2024,1.00
30-04-2022,Amount of Issue Size,"4,957.42",,22-07-2024,1.00
30-04-2022,No of Issues,15.00,,22-07-2024,1.00
31-05-2022,Amount of Issue Size,"11,761.90","20,557.23",22-07-2024,1.00
31-05-2022,No of Issues,18.00,1.00,22-07-2024,1.00
30-06-2022,Amount of Issue Size,"1,468.84",,22-07-2024,1.00
