index,Month,Parameter,Main-Sector,Sub-Sector,Industry,Value,Upload_Date,rank
0.00,30-04-2019,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,"1,345.26",16-10-2024,1.00
1.00,30-04-2019,Amount of Issue Size,Services,Services,Engineering Services,477.11,16-10-2024,1.00
2.00,30-04-2019,Amount of Issue Size,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,2.27,16-10-2024,1.00
3.00,30-04-2019,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"1,204.29",16-10-2024,1.00
4.00,30-04-2019,Amount of Issue Size,Others,Others,Others,53.10,16-10-2024,1.00
5.00,31-05-2019,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,141.39,16-10-2024,1.00
6.00,31-05-2019,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,1.93,16-10-2024,1.00
7.00,31-05-2019,Amount of Issue Size,Services,Services,Engineering Services,12.21,16-10-2024,1.00
8.00,31-05-2019,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,37.91,16-10-2024,1.00
9.00,31-05-2019,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,42.00,16-10-2024,1.00
10.00,31-05-2019,Amount of Issue Size,Others,Others,Others,22.04,16-10-2024,1.00
11.00,31-05-2019,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,"49,371.99",16-10-2024,1.00
12.00,30-06-2019,Amount of Issue Size,Information Technology,Information Technology,IT - Services,9.97,16-10-2024,1.00
13.00,30-06-2019,Amount of Issue Size,Others,Others,Others,11.74,16-10-2024,1.00
14.00,30-06-2019,Amount of Issue Size,Telecommunication,Telecommunication,Telecom - Services,30.86,16-10-2024,1.00
15.00,31-07-2019,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,12.84,16-10-2024,1.00
16.00,31-07-2019,Amount of Issue Size,Services,Services,Engineering Services,"1,485.00",16-10-2024,1.00
17.00,31-07-2019,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,6.65,16-10-2024,1.00
18.00,31-07-2019,Amount of Issue Size,Information Technology,Information Technology,IT - Services,459.00,16-10-2024,1.00
19.00,31-07-2019,Amount of Issue Size,Others,Others,Others,512.96,16-10-2024,1.00
20.00,31-08-2019,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,"2,869.43",16-10-2024,1.00
21.00,31-08-2019,Amount of Issue Size,Financial Services,Financial Services,Finance,101.91,16-10-2024,1.00
22.00,31-08-2019,Amount of Issue Size,Others,Others,Others,"1,228.65",16-10-2024,1.00
23.00,30-09-2019,Amount of Issue Size,Industrials,Capital Goods,Electrical Equipment,1.35,16-10-2024,1.00
24.00,30-09-2019,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,4.49,16-10-2024,1.00
25.00,30-09-2019,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,6.18,16-10-2024,1.00
26.00,30-09-2019,Amount of Issue Size,Others,Others,Others,8.50,16-10-2024,1.00
27.00,31-10-2019,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,235.13,16-10-2024,1.00
28.00,31-10-2019,Amount of Issue Size,Services,Services,Engineering Services,17.77,16-10-2024,1.00
29.00,31-10-2019,Amount of Issue Size,Financial Services,Financial Services,Finance,3.70,16-10-2024,1.00
30.00,31-10-2019,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,120.00,16-10-2024,1.00
31.00,31-10-2019,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,17.93,16-10-2024,1.00
32.00,31-10-2019,Amount of Issue Size,Others,Others,Others,657.66,16-10-2024,1.00
33.00,30-11-2019,Amount of Issue Size,Others,Others,Others,24.21,16-10-2024,1.00
34.00,31-12-2019,Amount of Issue Size,Financial Services,Financial Services,Banks,409.68,16-10-2024,1.00
35.00,31-12-2019,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,500.00,16-10-2024,1.00
36.00,31-12-2019,Amount of Issue Size,Information Technology,Information Technology,IT - Services,10.80,16-10-2024,1.00
37.00,31-12-2019,Amount of Issue Size,Others,Others,Others,752.27,16-10-2024,1.00
38.00,31-01-2020,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,11.52,16-10-2024,1.00
39.00,31-01-2020,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,6.22,16-10-2024,1.00
40.00,31-01-2020,Amount of Issue Size,Others,Others,Others,11.06,16-10-2024,1.00
41.00,29-02-2020,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,8.00,16-10-2024,1.00
42.00,29-02-2020,Amount of Issue Size,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,16.32,16-10-2024,1.00
43.00,29-02-2020,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,"3,430.16",16-10-2024,1.00
44.00,29-02-2020,Amount of Issue Size,Information Technology,Information Technology,IT - Services,4.24,16-10-2024,1.00
45.00,29-02-2020,Amount of Issue Size,Others,Others,Others,35.69,16-10-2024,1.00
46.00,31-03-2020,Amount of Issue Size,Financial Services,Financial Services,Finance,"10,340.80",16-10-2024,1.00
47.00,31-03-2020,Amount of Issue Size,Healthcare,Healthcare,Healthcare Services,15.33,16-10-2024,1.00
48.00,31-03-2020,Amount of Issue Size,Others,Others,Others,372.31,16-10-2024,1.00
49.00,30-04-2020,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,3.24,16-10-2024,1.00
50.00,30-04-2020,Amount of Issue Size,Others,Others,Others,13.08,16-10-2024,1.00
51.00,30-06-2020,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,2.46,16-10-2024,1.00
52.00,30-06-2020,Amount of Issue Size,Others,Others,Others,"53,124.20",16-10-2024,1.00
53.00,31-07-2020,Amount of Issue Size,Financial Services,Financial Services,Banks,"15,000.00",16-10-2024,1.00
54.00,31-07-2020,Amount of Issue Size,Commodities,Chemicals,Chemicals & Petrochemicals,496.25,16-10-2024,1.00
55.00,31-07-2020,Amount of Issue Size,Services,Services,Engineering Services,10.51,16-10-2024,1.00
56.00,31-07-2020,Amount of Issue Size,Information Technology,Information Technology,IT - Services,4.02,16-10-2024,1.00
57.00,31-07-2020,Amount of Issue Size,Consumer Discretionary,Consumer Services,Other Consumer Services,399.79,16-10-2024,1.00
58.00,31-08-2020,Amount of Issue Size,Commodities,Construction Materials,Cement & Cement Products,6.90,16-10-2024,1.00
