Month,Parameter,< 5 crore,≥ 5crore - < 10crore,≥ 10crore - < 50crore,≥ 50 crore - < 100crore,≥ 100 crore - < 500crore,≥ 500crore,Upload_Date,rank
30-04-2019,Amount of Issue Size,2.27,0.00,53.10,0.00,477.11,"2,549.55",16-10-2024,1.00
31-05-2019,Amount of Issue Size,2.44,15.11,107.58,0.00,132.35,"49,371.99",16-10-2024,1.00
30-06-2019,Amount of Issue Size,0.00,9.97,42.61,0.00,0.00,0.00,16-10-2024,1.00
31-07-2019,Amount of Issue Size,11.59,19.77,25.50,0.00,934.59,"1,485.00",16-10-2024,1.00
31-08-2019,Amount of Issue Size,0.00,0.00,58.59,0.00,101.91,"4,039.49",16-10-2024,1.00
30-09-2019,Amount of Issue Size,5.84,14.68,0.00,0.00,0.00,0.00,16-10-2024,1.00
31-10-2019,Amount of Issue Size,10.13,0.00,77.15,60.00,206.95,637.96,16-10-2024,1.00
30-11-2019,Amount of Issue Size,2.64,0.00,21.57,0.00,0.00,0.00,16-10-2024,1.00
31-12-2019,Amount of Issue Size,0.00,6.32,10.80,0.00,409.68,"1,245.95",16-10-2024,1.00
31-01-2020,Amount of Issue Size,10.05,7.23,11.52,0.00,0.00,0.00,16-10-2024,1.00
29-02-2020,Amount of Issue Size,12.40,8.00,35.69,0.00,0.00,"3,430.16",16-10-2024,1.00
31-03-2020,Amount of Issue Size,6.95,15.36,15.33,0.00,349.99,"10,340.80",16-10-2024,1.00
30-04-2020,Amount of Issue Size,8.04,8.28,0.00,0.00,0.00,0.00,16-10-2024,1.00
30-06-2020,Amount of Issue Size,2.46,0.00,0.00,0.00,0.00,0.00,16-10-2024,1.00
31-07-2020,Amount of Issue Size,4.02,0.00,10.51,0.00,896.04,"15,000.00",16-10-2024,1.00
31-08-2020,Amount of Issue Size,4.55,6.90,24.87,79.53,415.77,"5,576.13",16-10-2024,1.00
30-09-2020,Amount of Issue Size,0.00,6.88,0.00,0.00,362.69,"1,302.02",16-10-2024,1.00
31-10-2020,Amount of Issue Size,18.08,8.09,60.97,61.20,"1,290.27","5,002.00",16-10-2024,1.00
30-11-2020,Amount of Issue Size,1.59,0.00,0.00,71.30,0.00,"6,997.15",16-10-2024,1.00
31-12-2020,Amount of Issue Size,2.70,0.00,0.00,0.00,299.16,"1,350.54",16-10-2024,1.00
31-01-2021,Amount of Issue Size,0.00,0.00,0.00,81.25,299.99,"4,633.38",16-10-2024,1.00
28-02-2021,Amount of Issue Size,3.24,0.00,0.00,0.00,512.63,"6,140.69",16-10-2024,1.00
31-03-2021,Amount of Issue Size,4.01,17.25,207.03,0.00,0.00,"6,255.02",16-10-2024,1.00
30-04-2021,Amount of Issue Size,13.71,9.87,65.40,69.95,652.69,"2,500.00",16-10-2024,1.00
31-05-2021,Amount of Issue Size,1.12,0.00,25.00,0.00,0.00,0.00,16-10-2024,1.00
30-06-2021,Amount of Issue Size,13.60,9.75,49.10,0.00,355.00,"9,122.47",16-10-2024,1.00
31-07-2021,Amount of Issue Size,1.22,18.08,49.12,0.00,0.00,"13,983.95",16-10-2024,1.00
31-08-2021,Amount of Issue Size,4.49,11.36,43.19,0.00,964.16,"19,924.49",16-10-2024,1.00
30-09-2021,Amount of Issue Size,14.21,0.00,105.66,0.00,101.64,"3,746.41",16-10-2024,1.00
31-10-2021,Amount of Issue Size,7.89,26.61,135.43,99.99,795.31,"2,768.26",16-10-2024,1.00
30-11-2021,Amount of Issue Size,0.00,0.00,127.24,50.00,125.43,"57,057.43",16-10-2024,1.00
31-12-2021,Amount of Issue Size,18.44,27.84,227.23,0.00,579.09,"17,408.64",16-10-2024,1.00
31-01-2022,Amount of Issue Size,11.64,16.76,105.69,0.00,0.00,680.00,16-10-2024,1.00
28-02-2022,Amount of Issue Size,11.11,0.00,132.78,50.75,0.00,"6,749.19",16-10-2024,1.00
31-03-2022,Amount of Issue Size,16.28,16.21,273.33,0.00,0.00,748.00,16-10-2024,1.00
30-04-2022,Amount of Issue Size,4.16,0.00,207.72,115.50,330.04,"4,300.00",16-10-2024,1.00
31-05-2022,Amount of Issue Size,4.70,15.44,160.27,83.83,"1,780.48","30,274.41",16-10-2024,1.00
30-06-2022,Amount of Issue Size,0.00,22.81,148.92,76.28,412.79,808.04,16-10-2024,1.00
31-07-2022,Amount of Issue Size,7.52,34.27,183.38,65.58,0.00,0.00,16-10-2024,1.00
31-08-2022,Amount of Issue Size,6.32,20.95,85.50,0.00,0.00,840.13,16-10-2024,1.00
30-09-2022,Amount of Issue Size,15.11,44.28,471.45,56.00,0.00,"2,125.20",16-10-2024,1.00
31-10-2022,Amount of Issue Size,11.46,33.32,430.52,185.92,309.38,500.00,16-10-2024,1.00
30-11-2022,Amount of Issue Size,4.37,27.03,64.26,64.64,399.80,"11,174.04",16-10-2024,1.00
31-12-2022,Amount of Issue Size,0.00,26.79,288.68,0.00,"1,071.75","3,847.96",16-10-2024,1.00
31-01-2023,Amount of Issue Size,0.00,28.29,234.04,66.30,793.20,0.00,16-10-2024,1.00
28-02-2023,Amount of Issue Size,9.45,14.31,340.71,80.55,125.00,0.00,16-10-2024,1.00
31-03-2023,Amount of Issue Size,12.03,43.89,515.30,161.82,892.02,"1,440.00",16-10-2024,1.00
30-04-2023,Amount of Issue Size,4.60,13.87,227.78,66.00,0.00,"1,669.04",16-10-2024,1.00
31-05-2023,Amount of Issue Size,0.00,9.33,336.62,0.00,107.49,"6,820.11",16-10-2024,1.00
30-06-2023,Amount of Issue Size,2.83,6.02,474.66,367.30,105.14,606.50,16-10-2024,1.00
31-07-2023,Amount of Issue Size,0.00,5.69,439.30,318.31,"1,813.43","2,790.24",16-10-2024,1.00
31-08-2023,Amount of Issue Size,2.03,36.52,575.59,156.40,504.05,"5,192.09",16-10-2024,1.00
30-09-2023,Amount of Issue Size,0.00,14.87,335.34,226.47,"1,515.66","7,472.57",16-10-2024,1.00
31-10-2023,Amount of Issue Size,0.00,33.82,616.23,230.85,692.86,"3,984.36",16-10-2024,1.00
30-11-2023,Amount of Issue Size,0.00,26.14,395.26,106.15,953.34,"12,062.33",16-10-2024,1.00
31-12-2023,Amount of Issue Size,0.00,6.88,420.63,212.49,651.09,"8,280.69",16-10-2024,1.00
31-01-2024,Amount of Issue Size,0.00,19.17,416.23,221.17,143.81,"3,451.92",16-10-2024,1.00
29-02-2024,Amount of Issue Size,0.00,21.76,433.49,448.74,508.47,"14,230.23",16-10-2024,1.00
31-03-2024,Amount of Issue Size,0.00,24.64,777.54,170.05,"2,052.69","1,251.85",16-10-2024,1.00
30-04-2024,Amount of Issue Size,4.76,28.10,513.18,275.15,480.20,"24,075.47",16-10-2024,1.00
30-04-2019,No of Issues,1.00,0.00,2.00,0.00,1.00,2.00,16-10-2024,1.00
31-05-2019,No of Issues,3.00,2.00,4.00,0.00,1.00,2.00,16-10-2024,1.00
30-06-2019,No of Issues,0.00,1.00,2.00,0.00,0.00,0.00,16-10-2024,1.00
31-07-2019,No of Issues,3.00,3.00,2.00,0.00,2.00,1.00,16-10-2024,1.00
31-08-2019,No of Issues,0.00,0.00,3.00,0.00,1.00,2.00,16-10-2024,1.00
30-09-2019,No of Issues,2.00,2.00,0.00,0.00,0.00,0.00,16-10-2024,1.00
31-10-2019,No of Issues,3.00,0.00,4.00,1.00,1.00,1.00,16-10-2024,1.00
30-11-2019,No of Issues,1.00,0.00,1.00,0.00,0.00,0.00,16-10-2024,1.00
31-12-2019,No of Issues,0.00,1.00,1.00,0.00,1.00,2.00,16-10-2024,1.00
31-01-2020,No of Issues,3.00,1.00,1.00,0.00,0.00,0.00,16-10-2024,1.00
29-02-2020,No of Issues,3.00,1.00,2.00,0.00,0.00,1.00,16-10-2024,1.00
31-03-2020,No of Issues,2.00,2.00,1.00,0.00,1.00,1.00,16-10-2024,1.00
30-04-2020,No of Issues,3.00,1.00,0.00,0.00,0.00,0.00,16-10-2024,1.00
30-06-2020,No of Issues,1.00,0.00,0.00,0.00,0.00,0.00,16-10-2024,1.00
31-07-2020,No of Issues,1.00,0.00,1.00,0.00,2.00,1.00,16-10-2024,1.00
31-08-2020,No of Issues,1.00,1.00,1.00,1.00,2.00,3.00,16-10-2024,1.00
30-09-2020,No of Issues,0.00,1.00,0.00,0.00,2.00,2.00,16-10-2024,1.00
31-10-2020,No of Issues,4.00,1.00,4.00,1.00,4.00,3.00,16-10-2024,1.00
30-11-2020,No of Issues,1.00,0.00,0.00,1.00,0.00,2.00,16-10-2024,1.00
31-12-2020,No of Issues,1.00,0.00,0.00,0.00,1.00,2.00,16-10-2024,1.00
31-01-2021,No of Issues,0.00,0.00,0.00,1.00,1.00,1.00,16-10-2024,1.00
28-02-2021,No of Issues,1.00,0.00,0.00,0.00,2.00,4.00,16-10-2024,1.00
31-03-2021,No of Issues,2.00,2.00,7.00,0.00,0.00,9.00,16-10-2024,1.00
30-04-2021,No of Issues,3.00,1.00,3.00,1.00,2.00,1.00,16-10-2024,1.00
31-05-2021,No of Issues,1.00,0.00,1.00,0.00,0.00,0.00,16-10-2024,1.00
30-06-2021,No of Issues,3.00,1.00,1.00,0.00,1.00,4.00,16-10-2024,1.00
31-07-2021,No of Issues,1.00,3.00,1.00,0.00,0.00,6.00,16-10-2024,1.00
31-08-2021,No of Issues,1.00,2.00,2.00,0.00,3.00,8.00,16-10-2024,1.00
30-09-2021,No of Issues,4.00,0.00,4.00,0.00,1.00,3.00,16-10-2024,1.00
31-10-2021,No of Issues,3.00,4.00,6.00,1.00,3.00,1.00,16-10-2024,1.00
30-11-2021,No of Issues,0.00,0.00,5.00,1.00,1.00,10.00,16-10-2024,1.00
31-12-2021,No of Issues,6.00,3.00,7.00,0.00,3.00,12.00,16-10-2024,1.00
31-01-2022,No of Issues,4.00,2.00,4.00,0.00,0.00,1.00,16-10-2024,1.00
28-02-2022,No of Issues,3.00,0.00,7.00,1.00,0.00,2.00,16-10-2024,1.00
31-03-2022,No of Issues,4.00,2.00,9.00,0.00,0.00,1.00,16-10-2024,1.00
30-04-2022,No of Issues,2.00,0.00,8.00,2.00,2.00,1.00,16-10-2024,1.00
31-05-2022,No of Issues,2.00,2.00,4.00,1.00,5.00,5.00,16-10-2024,1.00
30-06-2022,No of Issues,0.00,3.00,6.00,1.00,1.00,1.00,16-10-2024,1.00
31-07-2022,No of Issues,3.00,4.00,7.00,1.00,0.00,0.00,16-10-2024,1.00
31-08-2022,No of Issues,2.00,3.00,3.00,0.00,0.00,1.00,16-10-2024,1.00
30-09-2022,No of Issues,4.00,6.00,16.00,1.00,0.00,3.00,16-10-2024,1.00
31-10-2022,No of Issues,3.00,4.00,15.00,3.00,1.00,1.00,16-10-2024,1.00
30-11-2022,No of Issues,1.00,4.00,3.00,1.00,1.00,10.00,16-10-2024,1.00
31-12-2022,No of Issues,0.00,3.00,11.00,0.00,3.00,4.00,16-10-2024,1.00
31-01-2023,No of Issues,0.00,4.00,13.00,1.00,3.00,0.00,16-10-2024,1.00
28-02-2023,No of Issues,2.00,2.00,11.00,1.00,1.00,0.00,16-10-2024,1.00
31-03-2023,No of Issues,3.00,6.00,21.00,3.00,3.00,1.00,16-10-2024,1.00
30-04-2023,No of Issues,1.00,2.00,8.00,1.00,0.00,2.00,16-10-2024,1.00
31-05-2023,No of Issues,0.00,1.00,10.00,0.00,1.00,2.00,16-10-2024,1.00
30-06-2023,No of Issues,1.00,1.00,17.00,6.00,1.00,1.00,16-10-2024,1.00
31-07-2023,No of Issues,0.00,1.00,15.00,5.00,4.00,5.00,16-10-2024,1.00
31-08-2023,No of Issues,1.00,5.00,16.00,2.00,2.00,5.00,16-10-2024,1.00
30-09-2023,No of Issues,0.00,2.00,17.00,4.00,5.00,7.00,16-10-2024,1.00
31-10-2023,No of Issues,0.00,4.00,21.00,4.00,3.00,3.00,16-10-2024,1.00
