Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,Region,6(1) / (2),Industry_Raw,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket,Calender_Month,Calender_Year,Financial_Year
Rail Vikas Nigam Limited,,Main Board,IPO,Public,253457280,0,253457280,2019-03-29 00:00:00,2019-04-03,1.83,10.0,,19.0,477.11,2019-04-11,,,,,,,,,,,,,,Northern,,Engineering,Delhi,Northern,,,≥ 100 crore - < 500crore,2019-04-30,2019,2019-20
KHFM Hospitality and Facility Management Serv Ltd,,SME,IPO,Private,2949000,2949000,0,2019-03-22 00:00:00,2019-04-04,1.27,10.0,,36.0,10.6164,2019-04-12,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-04-30,2019,2019-20
Metropolis Healthcare Limited,,Main Board,IPO,Private,13685095,0,13685095,2019-04-03 00:00:00,2019-04-05,5.84,2.0,,880.0,1204.28836,2019-04-15,,,,,,,,,,,,,,Western,,Healthcare,Maharashtra,Western,,,≥ 500crore,2019-04-30,2019,2019-20
Polycab India Limited,,Main Board,IPO,Private,25022067,7440067,17582000,2019-04-05 00:00:00,2019-04-09,52.2583,10.0,,538.0,1345.26,2019-04-16,,,,,,,,,,,,,,Northern,,Electronic Equipments/ Products,Delhi,Northern,,,≥ 500crore,2019-04-30,2019,2019-20
Jinaam's Dress Limited,,SME,IPO,Private,7200000,7200000,0,2019-04-09 00:00:00,2019-04-15,1.15,10.0,,59.0,42.48,2019-04-25,,,,,,,,,,,,,,Western,,Misc,Gujarat,Western,,,≥ 10crore - < 50crore,2019-04-30,2019,2019-20
V R Films & Studios Limited,,SME,IPO,Private,372000,372000,0,2019-04-12 00:00:00,2019-04-18,1.44,10.0,,61.0,2.2692,2019-04-30,,,,,,,,,,,,,,Western,,Entertainment,Maharashtra,Western,,,< 5 crore,2019-04-30,2019,2019-20
Vodafone Idea Limited,,Main Board,Right,Private,19999830911,19999830911,0,2019-04-10 00:00:00,2019-04-24,0,10.0,,12.5,24999.79,2019-05-08,,,,,,,,,,,,,,Western,,Telecom,Maharashtra,Western,,,≥ 500crore,2019-05-31,2019,2019-20
Neogen Chemicals Limited,,Main Board,IPO,Private,6155813,3255813,2900000,2019-04-24 00:00:00,2019-04-26,41.3678,10.0,,215.0,132.35,2019-05-08,,,,,,,,,,,,,,Western,,Chemical,Maharashtra,Western,,,≥ 100 crore - < 500crore,2019-05-31,2019,2019-20
G.K.P. Printing & Packaging Limited,,SME,IPO,Private,2056000,2056000,0,2019-04-23 00:00:00,2019-04-26,1.4825,10.0,,32.0,6.5792,2019-05-08,,,,,,,,,,,,,,Western,,Printing,Maharashtra,Western,,,≥ 5crore - < 10crore,2019-05-31,2019,2019-20
White Organic Retail Limited,,SME,IPO,Private,2454000,2454000,0,2019-04-26 00:00:00,2019-05-02,1.2942,10.0,,63.0,15.46,2019-05-10,,,,,,,,,,,,,,Western,,Misc,Maharashtra,Western,,,≥ 10crore - < 50crore,2019-05-31,2019,2019-20
