Month,FPI_Equity (USD_MN),FPI_Debt (USD_MN),FPI_Hybrid (USD_MN),FPI_Equity (INR_Crore),FPI_Debt (INR_Crore),FPI_Hybrid (INR_Crore),MF_Equity (INR_Crore),MF_Debt (INR_Crore),usd_inr,MF_Equity (USD_MN),MF_Debt (USD_MN)
15/01/2025,-508.31,-2.59,11,"-4,396.93",-22.4,95.14,"6,767.06",-1947.47,8.650095414,782.3104458,-225.1385571
14/01/2025,-897.34,-24.56,-0.02,"-7,766.43",-212.60,-0.13,4172.81,-665.9,8.654946843,482.1300553,-76.93865856
13/01/2025,-494.75,62.38,2.39,"-4,276.46",539.22,20.66,"5,097.59","-1,459.35",8.643678626,589.7477476,-168.8343659
10/01/2025,-165.48,40.53,3.48,-1421.4,348.13,29.91,"1,615.17",-836.66,8.58955765,188.0387868,-97.40431743
09/01/2025,-818.5,-78.72,1.41,"-7,029.38",-676.06,12.1,-77.09,"-3,948.37",8.588124618,-8.976348554,-459.7476371
08/01/2025,-434.43,-705.49,1.58,"-3,729.30","-6,056.28",13.59,"4,279.38",-983.74,8.584351909,498.5093861,-114.5968863
07/01/2025,-142.34,-43.41,0.5,"-1,220.16",-372.08,4.29,-602.00,-231.60,8.572151187,-70.2274128,-27.01772227
06/01/2025,-355.96,-64.32,0.26,"-3,055.16",-552.03,2.22,-248.96,-887.35,8.58287448,-29.0065992,-103.3861094
03/01/2025,-335.22,24.38,0.85,"-2,874.85",209.14,7.32,"1,426.74",-1258.75,8.576009785,166.3640826,-146.7757187
02/01/2025,193.93,81.72,1.59,"1,663.60",701.06,13.6,"2,906.98","3,065.87",8.578353014,338.8739068,357.3961103
01/01/2025,-69.7,-9.68,1.56,-597.46,-82.91,13.37,"2,817.66","-1,796.40",8.571879484,328.7097078,-209.5689753
31/12/2024,-624.96,246.04,-6.07,"-5,351.05",2106.71,-52.01,"3,313.29",-667.09,8.562227983,386.96587,-77.91079627
30/12/2024,-187.07,16.42,-7.43,"-1,598.78",140.3,-63.49,870.17,-1350.47,8.546426471,101.816824,-158.0157513
27/12/2024,43.25,-183.47,-1.71,370.17,-1570.38,-14.65,"2,719.85","-3,514.60",8.558843931,317.782404,-410.639571
26/12/2024,-186.73,146.85,-2.3,"-1,592.20",1252.13,-19.63,2063.83,-914.76,8.526749853,242.0418138,-107.2812051
24/12/2024,-211.77,-36.9,12.06,"-1,804.10",-314.38,102.7,-302.71,"-2,689.79",8.519148132,-35.53289546,-315.7346202
23/12/2024,18.27,-104.8,-1.19,155.40,-891.57,-10.09,"2,777.31","-2,608.21",8.505747126,326.5215811,-306.6409054
20/12/2024,-220.12,168.81,-0.16,"-1,872.95","1,436.30",-1.38,"3,407.33","-1,229.53",8.508767945,400.4492803,-144.5015316
19/12/2024,-93.23,98.45,-2.07,-793.19,837.64,-17.59,"2,089.57",-2667.61,8.507883728,245.6039676,-313.5456578
18/12/2024,-108.59,-130.12,-0.91,-922.34,"-1,105.19",-7.73,-470.51,"-4,902.87",8.493783958,-55.39462769,-577.2303633
17/12/2024,-281.03,-120.14,-148.51,"-2,386.74",-1020.26,-1261.27,-53.36,-6301.8,8.492829947,-6.28,-742.0141507
16/12/2024,22.29,202.5,1.77,189.10,1717.75,15,"2,645.59","-1,932.65",8.483624944,311.8466478,-227.809458
13/12/2024,346.12,-17.86,-9.28,"2,936.51",-151.49,-78.78,"2,334.12",1727.23,8.484080666,275.12,203.5848159
12/12/2024,-419.87,-532.22,-0.1,"-3,563.53","-4,517.17",-0.83,994.94,"-5,829.65",8.487222235,117.2279896,-686.8737307
11/12/2024,22.96,-5.12,-1.28,194.75,-43.40,-10.84,"-1,215.35",-1821.73,8.482142857,-143.2833684,-214.7723789
10/12/2024,220.04,296.43,2.96,"1,867.12","2,515.29",25.1,"1,714.50",-3639.19,8.485366297,202.0537405,-428.8783622
09/12/2024,70.79,54.51,-1.33,599.78,461.86,-11.24,"-2,581.68","-7,134.60",8.472665631,-304.7069379,-842.07265
06/12/2024,-92.86,511.44,1.98,-786.13,4329.65,16.79,"-1,267.13",-4556.19,8.4657549,-149.6771422,-538.1906344
05/12/2024,1119.9,239.13,0.77,"9,489.29","2,026.19",6.56,-411.82,-5622.3,8.473336905,-48.60186779,-663.5284378
04/12/2024,338.13,36.24,-4.77,"2,863.58",306.88,-40.41,"3,785.20","-2,500.68",8.468872919,446.9543983,-295.2789614
03/12/2024,1097.12,253.32,-1.14,9297.53,"2,146.72",-9.66,"3,477.67",915.96,8.47448775,410.3693465,108.084409
02/12/2024,447.98,438.32,-1.47,"3,793.55",3711.82,-12.42,"3,941.50","-4,755.97",8.468123577,465.451403,-561.6320967
29/11/2024,-117.21,248.78,-1.66,-990.32,"2,102.17",-14.05,1781.78,-1765.71,8.449108438,210.8837889,-208.9818131
28/11/2024,-1009.91,140.57,-1.31,"-8,532.90","1,187.66",-11.03,879.8,"-3,878.62",8.449168738,104.1285868,-459.053443
27/11/2024,-124.17,143.6,-0.2,"-1,048.89","1,212.96",-1.7,-4036.45,-7266.03,8.447209471,-477.8441939,-860.1692695
26/11/2024,452.58,101.88,0.33,"3,814.53",858.64,2.81,"1,628.47",-817.74,8.428410447,193.2119953,-97.02185307
25/11/2024,1140.97,210.16,-7.59,"9,615.79","1,771.19",-63.95,"3,894.18","-5,307.07",8.427732543,462.0673449,-629.7150476
22/11/2024,126.98,10.7,-2.79,"1,072.97",90.37,-23.57,3068.66,152.47,8.449913372,363.1587526,18.04397197
21/11/2024,156.99,-16.62,-3.31,1325.93,-140.34,-27.92,2656.47,"-3,206.57",8.445951971,314.5258236,-379.6576171
19/11/2024,-227.21,-76.93,-0.97,"-1,917.71",-649.33,-8.16,"1,948.73","-2,388.14",8.44025351,230.8852451,-282.9464775
18/11/2024,-240.34,-288.4,0,"-2,028.21",-2433.7,-0.02,4606.51,"1,192.28",8.438919864,545.8648825,141.2834841
14/11/2024,-176.89,-34.67,4.2,"-1,493.00",-292.56,35.44,"1,574.72",165.59,8.440273616,186.5721506,19.61903222
13/11/2024,-160.2,-329.29,-0.91,"-1,352.13","-2,779.47",-7.65,637.70,"-1,443.53",8.440262172,75.55452508,-171.0290475
12/11/2024,336.88,-233.85,0.16,"2,843.31",-1973.73,1.31,"1,268.90",775.78,8.440127048,150.3413388,91.915678
11/11/2024,-43.17,-3.03,0.75,-364.35,-25.49,6.31,1315.56,-2468.75,8.439888812,155.8740914,-292.5097777
08/11/2024,-421.15,-84.85,0.48,"-3,553.45",-715.93,4.06,"3,937.99","-1,902.80",8.43749258,466.7251512,-225.5172354
07/11/2024,-668.05,-106.63,-0.27,-5635.45,-899.50,-2.29,"2,060.81",-589.47,8.435670983,244.297105,-69.87825879
06/11/2024,-440.86,-317.05,-2.31,"-3,713.67","-2,670.69",-19.49,1391.2,193.10,8.423694597,165.1531859,22.92343315
05/11/2024,-206.75,173.82,3.07,"-1,739.29","1,462.19",25.84,-401.64,-0.21,8.412527207,-47.74308482,-0.024962772
04/11/2024,-542.38,-19.42,4.78,-4561.75,-163.31,40.17,"-1,281.56",1419.65,8.410616173,-152.3740917,168.7926272
01/11/2024,-516.54,367.55,1.57,"-4,343.53",3090.61,13.22,"4,204.82","-2,411.90",8.408893793,500.0443701,-286.827264
30/10/2024,-261.36,60.02,2.34,"-2,197.62",504.66,19.63,885.23,-2111.37,8.408402204,105.279217,-251.1024031
29/10/2024,-106.17,172.77,4.95,-892.63,1452.62,41.63,"1,927.79","-2,087.65",8.407553923,229.2926121,-248.3064657
28/10/2024,-250.87,-187.69,1.75,"-2,109.20",-1578.09,14.7,"3,253.14","-3,265.57",8.407541755,386.9311738,-388.4096083
25/10/2024,-360.05,157.83,8.95,"-3,027.21",1326.99,75.25,"3,849.03","2,109.72",8.407748924,457.7955449,250.9256662
24/10/2024,-575.27,-115.62,3.25,"-4,836.55",-972.09,27.35,"5,307.01",-317.51,8.407443461,631.2275574,-37.76534466
