Month,Gold_INR,Sensex,Nifty,SP500,Nasdaq,USDINR
01-01-1985,,,,179.63,278.7,
01-02-1985,,,,181.18,284.2,
01-03-1985,,,,180.66,279.2,
01-04-1985,,,,179.83,280.6,
01-05-1985,,,,189.55,290.8,
01-06-1985,,,,191.85,296.2,
01-07-1985,,,,190.92,301.3,
01-08-1985,,,,188.63,297.7,
01-09-1985,,,,182.08,280.3,
01-10-1985,,,,189.82,292.5,
01-11-1985,,,,202.17,314,
01-12-1985,,,,211.28,324.9,
01-01-1986,,,,211.78,335.8,
01-02-1986,,,,226.92,359.5,
01-03-1986,,,,238.9,374.7,
01-04-1986,,,,235.52,383.2,
01-05-1986,,,,247.35,400.2,
01-06-1986,,,,250.84,405.5,
01-07-1986,,,,236.12,371.4,
01-08-1986,,,,252.93,382.9,
01-09-1986,,,,231.32,350.7,
01-10-1986,,,,243.98,360.8,
01-11-1986,,,,249.22,359.6,
01-12-1986,,,,242.17,348.8,
01-01-1987,,,,274.08,392.1,
01-02-1987,,,,284.2,425,
01-03-1987,,,,291.7,430.1,
01-04-1987,,,,288.36,417.8,
01-05-1987,,,,290.1,416.5,
01-06-1987,,,,304,424.7,
01-07-1987,,,,318.66,434.9,
01-08-1987,,,,329.8,455,
01-09-1987,,,,321.83,444.3,
01-10-1987,,,,251.79,323.3,
01-11-1987,,,,230.3,305.2,
01-12-1987,,,,247.08,330.5,
01-01-1988,,,,257.07,344.7,
01-02-1988,,,,267.82,367,
01-03-1988,,,,258.89,374.6,
01-04-1988,,,,261.33,379.2,
01-05-1988,,,,262.16,370.3,
01-06-1988,,,,273.5,394.7,
01-07-1988,,,,272.02,387.3,
01-08-1988,,,,261.52,376.6,
01-09-1988,,,,271.91,387.7,
01-10-1988,,,,278.97,382.5,
01-11-1988,,,,273.7,371.5,
01-12-1988,,,,277.72,381.4,
01-01-1989,,,,297.47,401.3,
01-02-1989,,,,288.86,399.7,
01-03-1989,,,,294.87,406.7,
01-04-1989,,,,309.64,427.6,
01-05-1989,,,,320.52,446.2,
01-06-1989,,,,317.98,435.3,
01-07-1989,,,,346.08,453.8,
01-08-1989,,,,351.45,469.3,
01-09-1989,,,,349.15,472.9,
01-10-1989,,,,340.36,455.6,
01-11-1989,,,,345.99,456.1,
01-12-1989,,,,353.4,454.8,
01-01-1990,,,,329.08,415.8,
01-02-1990,,,,331.89,425.8,
01-03-1990,,,,339.94,435.5,
01-04-1990,,,,330.8,420.1,
01-05-1990,,,,361.23,459,
01-06-1990,,,,358.02,462.3,
01-07-1990,,,,356.15,438.2,
01-08-1990,,,,322.56,381.2,
01-09-1990,,,,306.05,344.5,
01-10-1990,,,,304,329.8,
01-11-1990,,,,322.22,359.1,
01-12-1990,,,,330.22,373.8,
01-01-1991,,,,343.93,414.2,
01-02-1991,,,,367.07,453.1,
01-03-1991,,,,375.22,482.3,
01-04-1991,,,,375.34,484.72,
01-05-1991,,,,389.83,506.11,
01-06-1991,,,,371.16,475.92,
01-07-1991,,,,387.81,502.04,
01-08-1991,,,,395.43,525.68,
01-09-1991,,,,387.86,526.88,
01-10-1991,,,,392.45,542.98,
01-11-1991,,,,375.22,523.9,
01-12-1991,,,,417.09,586.34,
01-01-1992,,,,408.78,620.21,
01-02-1992,,,,412.7,633.47,
01-03-1992,,,,403.69,603.77,
01-04-1992,,,,414.95,578.68,
01-05-1992,,,,415.35,585.31,
01-06-1992,,,,408.14,563.6,
01-07-1992,,,,424.21,580.83,
01-08-1992,,,,414.03,563.12,
01-09-1992,,,,417.8,583.27,
01-10-1992,,,,418.68,605.17,
01-11-1992,,,,431.35,652.73,
01-12-1992,,,,435.71,676.95,
01-01-1993,,,,438.78,696.34,
01-02-1993,,,,443.38,670.77,
01-03-1993,,,,451.67,690.13,
01-04-1993,,,,440.19,661.42,
01-05-1993,,,,450.19,700.53,
01-06-1993,,,,450.53,703.95,
01-07-1993,,,,448.13,704.7,
01-08-1993,,,,463.56,742.84,
01-09-1993,,,,458.93,762.78,
01-10-1993,,,,467.83,779.26,
01-11-1993,,,,461.79,754.39,
01-12-1993,,,,466.45,776.8,
01-01-1994,,,,481.61,800.47,
01-02-1994,,,,467.14,792.5,
01-03-1994,,,,445.77,743.46,
01-04-1994,,,,450.91,733.84,
01-05-1994,,,,456.5,735.19,
01-06-1994,,,,444.27,705.96,
01-07-1994,,,,458.26,722.16,
01-08-1994,,,,475.49,765.62,
01-09-1994,,,,462.71,764.29,
01-10-1994,,,,472.35,777.49,
01-11-1994,,,,453.69,750.32,
01-12-1994,,,,459.27,751.96,
01-01-1995,,,,470.42,755.2,
01-02-1995,,,,487.39,793.73,
01-03-1995,,,,500.71,817.21,
01-04-1995,,,,514.71,843.98,
01-05-1995,,,,533.4,864.58,
01-06-1995,,,,544.75,933.45,
01-07-1995,,,,562.06,1001.21,
01-08-1995,,,,561.88,1020.11,
01-09-1995,,,,584.41,1043.54,
01-10-1995,,,,581.5,1036.06,
01-11-1995,,,,605.37,1059.2,
01-12-1995,,,,615.93,1052.13,
01-01-1996,,,,636.02,1059.79,
01-02-1996,,,,640.43,1100.05,
01-03-1996,,,,645.5,1101.4,
01-04-1996,,,,654.17,1190.52,
01-05-1996,,,,669.12,1243.43,
01-06-1996,,,,670.63,1185.02,
01-07-1996,,,,639.95,1080.59,
01-08-1996,,,,651.99,1141.5,
01-09-1996,,,,687.33,1226.92,
01-10-1996,,,,705.27,1221.51,
01-11-1996,,,,757.02,1292.61,
01-12-1996,,,,740.74,1291.03,
01-01-1997,,,,786.16,1379.85,
01-02-1997,,,,790.82,1309,
01-03-1997,,,,757.12,1221.7,
01-04-1997,,,,801.34,1260.76,
01-05-1997,,,,848.28,1400.32,
01-06-1997,,,,885.14,1442.07,
01-07-1997,,4305.76,,954.31,1593.81,
01-08-1997,,3876.08,,899.47,1587.32,
01-09-1997,,3902.03,,947.28,1685.69,
01-10-1997,,3803.24,,914.62,1593.61,
01-11-1997,,3560.29,,955.4,1600.55,
01-12-1997,,3658.98,,970.43,1570.35,
01-01-1998,,3224.36,,980.28,1619.36,
01-02-1998,,3622.22,,1049.34,1770.51,
01-03-1998,,3892.75,,1101.75,1835.68,
01-04-1998,,4006.81,,1111.75,1868.41,
01-05-1998,,3686.39,,1090.82,1778.87,
01-06-1998,,3250.69,,1133.84,1894.74,
01-07-1998,,3211.31,,1120.67,1872.39,
01-08-1998,,2933.85,,957.28,1499.25,
01-09-1998,,3102.29,,1017.01,1693.84,
01-10-1998,,2812.49,,1098.67,1771.39,
01-11-1998,,2810.66,,1163.63,1949.54,
01-12-1998,,3055.41,,1229.23,2192.69,
01-01-1999,,3315.57,,1279.64,2505.89,
01-02-1999,,3233.86,,1238.33,2288.03,
01-03-1999,,3739.96,,1286.37,2461.4,
01-04-1999,,3325.69,,1335.18,2542.86,
01-05-1999,,3966.07,,1301.84,2470.52,
01-06-1999,,4140.73,,1372.71,2686.12,
01-07-1999,,4542.34,,1328.72,2638.49,
01-08-1999,,4898.21,,1320.41,2739.35,
01-09-1999,,4764.42,,1282.71,2746.16,
01-10-1999,,4444.56,,1362.93,2966.43,
01-11-1999,,4622.21,,1388.91,3336.16,
01-12-1999,,5005.82,,1469.25,4069.31,
01-01-2000,,5205.29,,1394.46,3940.35,
01-02-2000,,5447.47,,1366.42,4696.69,
01-03-2000,,5001.28,,1498.58,4572.83,
01-04-2000,,4657.55,,1452.43,3860.66,
01-05-2000,,4433.61,,1420.6,3400.91,
01-06-2000,,4748.77,,1454.6,3966.11,
